Rep,Bloc,Trt,Strain,Time,Mass,Number,Mean,Survival,Biomass
AllB1,B1,B,All,0,2528,10,252.8,10,2528
AllB1,B1,B,All,1,3194,9,354.8888888888889,9,3194
AllB1,B1,B,All,10,4817,9,535.2222222222222,9,4817
AllB1,B1,B,All,11,5363,9,595.8888888888889,9,5363
AllB1,B1,B,All,12,5468,9,607.5555555555555,9,5468
AllB1,B1,B,All,13,5966,9,662.8888888888889,9,5966
AllB1,B1,B,All,14,6103,9,678.1111111111111,9,6103
AllB1,B1,B,All,2,3676,9,408.44444444444446,9,3676
AllB1,B1,B,All,3,3876,9,430.6666666666667,9,3876
AllB1,B1,B,All,4,4245,9,471.6666666666667,9,4245
AllB1,B1,B,All,5,4275,9,475,9,4275
AllB1,B1,B,All,6,4487,9,498.55555555555554,9,4487
AllB1,B1,B,All,7,4674,9,519.3333333333334,9,4674
AllB1,B1,B,All,8,4690,9,521.1111111111111,9,4690
AllB1,B1,B,All,9,4857,9,539.6666666666666,9,4857
AllB10,B10,B,All,0,2759,10,275.9,10,2759
AllB10,B10,B,All,1,3314,10,331.4,10,3314
AllB10,B10,B,All,10,5130,9,570,9,5130
AllB10,B10,B,All,11,5680,9,631.1111111111111,9,5680
AllB10,B10,B,All,12,5775,9,641.6666666666666,9,5775
AllB10,B10,B,All,13,6436,9,715.1111111111111,9,6436
AllB10,B10,B,All,14,6508,9,723.1111111111111,9,6508
AllB10,B10,B,All,2,3884,10,388.4,10,3884
AllB10,B10,B,All,3,4037,10,403.7,10,4037
AllB10,B10,B,All,4,4049,9,449.8888888888889,9,4049
AllB10,B10,B,All,5,4360,9,484.44444444444446,9,4360
AllB10,B10,B,All,6,4290,9,476.6666666666667,9,4290
AllB10,B10,B,All,7,4431,9,492.3333333333333,9,4431
AllB10,B10,B,All,8,4366,9,485.1111111111111,9,4366
AllB10,B10,B,All,9,4589,9,509.8888888888889,9,4589
AllB2,B2,B,All,0,2601,10,260.1,10,2601
AllB2,B2,B,All,1,2460,9,273.3333333333333,9,2460
AllB2,B2,B,All,10,4743,9,527,9,4743
AllB2,B2,B,All,11,5078,9,564.2222222222222,9,5078
AllB2,B2,B,All,12,4730,8,591.25,8,4730
AllB2,B2,B,All,13,5003,8,625.375,8,5003
AllB2,B2,B,All,14,5330,8,666.25,8,5330
AllB2,B2,B,All,2,3589,9,398.77777777777777,9,3589
AllB2,B2,B,All,3,3845,9,427.22222222222223,9,3845
AllB2,B2,B,All,4,3979,9,442.1111111111111,9,3979
AllB2,B2,B,All,5,4175,9,463.8888888888889,9,4175
AllB2,B2,B,All,6,4565,9,507.22222222222223,9,4565
AllB2,B2,B,All,7,4664,9,518.2222222222222,9,4664
AllB2,B2,B,All,8,4668,9,518.6666666666666,9,4668
AllB2,B2,B,All,9,4705,9,522.7777777777778,9,4705
AllB3,B3,B,All,0,3306,10,330.6,10,3306
AllB3,B3,B,All,1,3620,10,362,10,3620
AllB3,B3,B,All,10,5024,9,558.2222222222222,9,5024
AllB3,B3,B,All,11,5209,9,578.7777777777778,9,5209
AllB3,B3,B,All,12,5385,9,598.3333333333334,9,5385
AllB3,B3,B,All,13,5769,9,641,9,5769
AllB3,B3,B,All,14,5610,9,623.3333333333334,9,5610
AllB3,B3,B,All,2,4381,10,438.1,10,4381
AllB3,B3,B,All,3,3986,9,442.8888888888889,9,3986
AllB3,B3,B,All,4,4211,9,467.8888888888889,9,4211
AllB3,B3,B,All,5,4395,9,488.3333333333333,9,4395
AllB3,B3,B,All,6,4462,9,495.77777777777777,9,4462
AllB3,B3,B,All,7,4779,9,531,9,4779
AllB3,B3,B,All,8,5066,9,562.8888888888889,9,5066
AllB3,B3,B,All,9,5090,9,565.5555555555555,9,5090
AllB4,B4,B,All,0,3744,10,374.4,10,3744
AllB4,B4,B,All,1,3147,9,349.6666666666667,9,3147
AllB4,B4,B,All,10,5295,9,588.3333333333334,9,5295
AllB4,B4,B,All,11,5299,9,588.7777777777778,9,5299
AllB4,B4,B,All,12,5619,9,624.3333333333334,9,5619
AllB4,B4,B,All,13,5176,8,647,8,5176
AllB4,B4,B,All,14,5536,8,692,8,5536
AllB4,B4,B,All,2,4037,9,448.55555555555554,9,4037
AllB4,B4,B,All,3,4370,9,485.55555555555554,9,4370
AllB4,B4,B,All,4,4750,9,527.7777777777778,9,4750
AllB4,B4,B,All,5,4697,9,521.8888888888889,9,4697
AllB4,B4,B,All,6,4672,9,519.1111111111111,9,4672
AllB4,B4,B,All,7,4978,9,553.1111111111111,9,4978
AllB4,B4,B,All,8,5093,9,565.8888888888889,9,5093
AllB4,B4,B,All,9,4995,9,555,9,4995
AllB5,B5,B,All,0,3343,10,334.3,10,3343
AllB5,B5,B,All,1,3495,10,349.5,10,3495
AllB5,B5,B,All,10,5463,10,546.3,10,5463
AllB5,B5,B,All,11,5889,10,588.9,10,5889
AllB5,B5,B,All,12,5980,10,598,10,5980
AllB5,B5,B,All,13,6262,10,626.2,10,6262
AllB5,B5,B,All,14,6463,10,646.3,10,6463
AllB5,B5,B,All,2,4961,10,496.1,10,4961
AllB5,B5,B,All,3,4231,10,423.1,10,4231
AllB5,B5,B,All,4,4648,10,464.8,10,4648
AllB5,B5,B,All,5,4739,10,473.9,10,4739
AllB5,B5,B,All,6,4777,10,477.7,10,4777
AllB5,B5,B,All,7,5037,10,503.7,10,5037
AllB5,B5,B,All,8,5076,10,507.6,10,5076
AllB5,B5,B,All,9,5324,10,532.4,10,5324
AllB6,B6,B,All,0,2698,10,269.8,10,2698
AllB6,B6,B,All,1,2605,9,289.44444444444446,9,2605
AllB6,B6,B,All,10,4005,8,500.625,8,4005
AllB6,B6,B,All,11,3973,8,496.625,8,3973
AllB6,B6,B,All,12,4142,8,517.75,8,4142
AllB6,B6,B,All,13,4527,8,565.875,8,4527
AllB6,B6,B,All,14,4555,8,569.375,8,4555
AllB6,B6,B,All,2,3067,9,340.77777777777777,9,3067
