Rep,Bloc,Trt,Strain,Time,Growth
AllB1,B1,B,All,0,0
AllB1,B1,B,All,1,102.0888888888889
AllB1,B1,B,All,10,282.42222222222216
AllB1,B1,B,All,11,343.0888888888889
AllB1,B1,B,All,12,354.75555555555553
AllB1,B1,B,All,13,410.0888888888889
AllB1,B1,B,All,14,425.3111111111111
AllB1,B1,B,All,2,155.64444444444445
AllB1,B1,B,All,3,177.86666666666667
AllB1,B1,B,All,4,218.86666666666667
AllB1,B1,B,All,5,222.2
AllB1,B1,B,All,6,245.75555555555553
AllB1,B1,B,All,7,266.53333333333336
AllB1,B1,B,All,8,268.3111111111111
AllB1,B1,B,All,9,286.8666666666666
AllB10,B10,B,All,0,0
AllB10,B10,B,All,1,55.5
AllB10,B10,B,All,10,294.1
AllB10,B10,B,All,11,355.2111111111111
AllB10,B10,B,All,12,365.76666666666665
AllB10,B10,B,All,13,439.2111111111111
AllB10,B10,B,All,14,447.2111111111111
AllB10,B10,B,All,2,112.5
AllB10,B10,B,All,3,127.80000000000001
AllB10,B10,B,All,4,173.98888888888894
AllB10,B10,B,All,5,208.54444444444448
AllB10,B10,B,All,6,200.7666666666667
AllB10,B10,B,All,7,216.43333333333334
AllB10,B10,B,All,8,209.2111111111111
AllB10,B10,B,All,9,233.98888888888894
AllB2,B2,B,All,0,0
AllB2,B2,B,All,1,13.233333333333292
AllB2,B2,B,All,10,266.9
AllB2,B2,B,All,11,304.12222222222215
AllB2,B2,B,All,12,331.15
AllB2,B2,B,All,13,365.275
AllB2,B2,B,All,14,406.15
AllB2,B2,B,All,2,138.67777777777775
AllB2,B2,B,All,3,167.1222222222222
AllB2,B2,B,All,4,182.01111111111106
AllB2,B2,B,All,5,203.7888888888889
AllB2,B2,B,All,6,247.1222222222222
AllB2,B2,B,All,7,258.12222222222215
AllB2,B2,B,All,8,258.5666666666666
AllB2,B2,B,All,9,262.6777777777778
AllB3,B3,B,All,0,0
AllB3,B3,B,All,1,31.399999999999977
AllB3,B3,B,All,10,227.62222222222215
AllB3,B3,B,All,11,248.1777777777778
AllB3,B3,B,All,12,267.73333333333335
AllB3,B3,B,All,13,310.4
AllB3,B3,B,All,14,292.73333333333335
AllB3,B3,B,All,2,107.5
AllB3,B3,B,All,3,112.28888888888889
AllB3,B3,B,All,4,137.2888888888889
AllB3,B3,B,All,5,157.7333333333333
AllB3,B3,B,All,6,165.17777777777775
AllB3,B3,B,All,7,200.39999999999998
AllB3,B3,B,All,8,232.2888888888889
AllB3,B3,B,All,9,234.95555555555552
AllB4,B4,B,All,0,0
AllB4,B4,B,All,1,-24.73333333333329
AllB4,B4,B,All,10,213.9333333333334
AllB4,B4,B,All,11,214.37777777777785
AllB4,B4,B,All,12,249.9333333333334
AllB4,B4,B,All,13,272.6
AllB4,B4,B,All,14,317.6
AllB4,B4,B,All,2,74.15555555555557
AllB4,B4,B,All,3,111.15555555555557
AllB4,B4,B,All,4,153.37777777777785
AllB4,B4,B,All,5,147.48888888888894
AllB4,B4,B,All,6,144.7111111111111
AllB4,B4,B,All,7,178.7111111111111
AllB4,B4,B,All,8,191.48888888888894
AllB4,B4,B,All,9,180.60000000000002
AllB5,B5,B,All,0,0
AllB5,B5,B,All,1,15.199999999999989
AllB5,B5,B,All,10,211.99999999999994
AllB5,B5,B,All,11,254.59999999999997
AllB5,B5,B,All,12,263.7
AllB5,B5,B,All,13,291.90000000000003
AllB5,B5,B,All,14,311.99999999999994
AllB5,B5,B,All,2,161.8
AllB5,B5,B,All,3,88.80000000000001
AllB5,B5,B,All,4,130.5
AllB5,B5,B,All,5,139.59999999999997
AllB5,B5,B,All,6,143.39999999999998
AllB5,B5,B,All,7,169.39999999999998
AllB5,B5,B,All,8,173.3
AllB5,B5,B,All,9,198.09999999999997
AllB6,B6,B,All,0,0
AllB6,B6,B,All,1,19.644444444444446
AllB6,B6,B,All,10,230.825
AllB6,B6,B,All,11,226.825
AllB6,B6,B,All,12,247.95
AllB6,B6,B,All,13,296.075
AllB6,B6,B,All,14,299.575
AllB6,B6,B,All,2,70.97777777777776
AllB6,B6,B,All,3,81.5333333333333
AllB6,B6,B,All,4,108.42222222222222
AllB6,B6,B,All,5,124.86666666666667
AllB6,B6,B,All,6,152.825
AllB6,B6,B,All,7,181.45
AllB6,B6,B,All,8,183.45
AllB6,B6,B,All,9,186.825
AllB7,B7,B,All,0,0
AllB7,B7,B,All,1,110.6
AllB7,B7,B,All,10,282.6
AllB7,B7,B,All,11,287.15555555555557
AllB7,B7,B,All,12,350.26666666666665
AllB7,B7,B,All,13,329.1
AllB7,B7,B,All,14,333.6
AllB7,B7,B,All,2,155.20000000000002
AllB7,B7,B,All,3,144.29999999999998
AllB7,B7,B,All,4,167.4
AllB7,B7,B,All,5,210.29999999999998
AllB7,B7,B,All,6,182.9
AllB7,B7,B,All,7,225.20000000000002
AllB7,B7,B,All,8,218.9
AllB7,B7,B,All,9,232.4
AllB8,B8,B,All,0,0
AllB8,B8,B,All,1,55.811111111111074
AllB8,B8,B,All,10,199.41428571428565
AllB8,B8,B,All,11,269.3666666666666
AllB8,B8,B,All,12,285.03333333333336
AllB8,B8,B,All,13,301.53333333333336
