Rep,Bloc,Trt,Strain,initial_mean,final_mean,final_growth,Time,Growth
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,0,0
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,1,102.0888888888889
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,10,282.42222222222216
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,11,343.0888888888889
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,12,354.75555555555553
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,13,410.0888888888889
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,14,425.3111111111111
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,2,155.64444444444445
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,3,177.86666666666667
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,4,218.86666666666667
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,5,222.2
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,6,245.75555555555553
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,7,266.53333333333336
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,8,268.3111111111111
AllB1,B1,B,All,252.8,678.1111111111111,425.3111111111111,9,286.8666666666666
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,0,0
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,1,55.5
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,10,294.1
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,11,355.2111111111111
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,12,365.76666666666665
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,13,439.2111111111111
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,14,447.2111111111111
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,2,112.5
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,3,127.80000000000001
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,4,173.98888888888894
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,5,208.54444444444448
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,6,200.7666666666667
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,7,216.43333333333334
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,8,209.2111111111111
AllB10,B10,B,All,275.9,723.1111111111111,447.2111111111111,9,233.98888888888894
AllB2,B2,B,All,260.1,666.25,406.15,0,0
AllB2,B2,B,All,260.1,666.25,406.15,1,13.233333333333292
AllB2,B2,B,All,260.1,666.25,406.15,10,266.9
