Rep,Bloc,Trt,Strain,Time,Growth
AllB1,B1,B,All,0,0
AllB1,B1,B,All,1,102.0888888888889
AllB1,B1,B,All,10,-4.444444444444457
AllB1,B1,B,All,11,60.66666666666674
AllB1,B1,B,All,12,11.666666666666629
AllB1,B1,B,All,13,55.33333333333337
AllB1,B1,B,All,14,15.222222222222172
AllB1,B1,B,All,2,53.55555555555554
AllB1,B1,B,All,3,22.22222222222223
AllB1,B1,B,All,4,41
AllB1,B1,B,All,5,3.3333333333333144
AllB1,B1,B,All,6,23.555555555555543
AllB1,B1,B,All,7,20.77777777777783
AllB1,B1,B,All,8,1.7777777777777146
AllB1,B1,B,All,9,18.555555555555543
AllB10,B10,B,All,0,0
AllB10,B10,B,All,1,55.5
AllB10,B10,B,All,10,60.111111111111086
AllB10,B10,B,All,11,61.111111111111086
AllB10,B10,B,All,12,10.555555555555543
AllB10,B10,B,All,13,73.44444444444446
AllB10,B10,B,All,14,8
AllB10,B10,B,All,2,57
AllB10,B10,B,All,3,15.300000000000011
AllB10,B10,B,All,4,46.188888888888926
AllB10,B10,B,All,5,34.55555555555554
AllB10,B10,B,All,6,-7.7777777777777715
AllB10,B10,B,All,7,15.666666666666629
AllB10,B10,B,All,8,-7.2222222222222285
AllB10,B10,B,All,9,24.77777777777783
AllB2,B2,B,All,0,0
AllB2,B2,B,All,1,13.233333333333292
AllB2,B2,B,All,10,4.222222222222172
AllB2,B2,B,All,11,37.22222222222217
AllB2,B2,B,All,12,27.02777777777783
AllB2,B2,B,All,13,34.125
AllB2,B2,B,All,14,40.875
AllB2,B2,B,All,2,125.44444444444446
AllB2,B2,B,All,3,28.444444444444457
AllB2,B2,B,All,4,14.888888888888857
AllB2,B2,B,All,5,21.77777777777783
AllB2,B2,B,All,6,43.333333333333314
AllB2,B2,B,All,7,10.999999999999943
AllB2,B2,B,All,8,0.4444444444444571
AllB2,B2,B,All,9,4.1111111111111995
AllB3,B3,B,All,0,0
AllB3,B3,B,All,1,31.399999999999977
AllB3,B3,B,All,10,-7.333333333333371
AllB3,B3,B,All,11,20.555555555555657
AllB3,B3,B,All,12,19.555555555555543
AllB3,B3,B,All,13,42.66666666666663
AllB3,B3,B,All,14,-17.66666666666663
AllB3,B3,B,All,2,76.10000000000002
AllB3,B3,B,All,3,4.788888888888891
AllB3,B3,B,All,4,25
AllB3,B3,B,All,5,20.4444444444444
AllB3,B3,B,All,6,7.444444444444457
AllB3,B3,B,All,7,35.22222222222223
AllB3,B3,B,All,8,31.888888888888914
AllB3,B3,B,All,9,2.6666666666666288
AllB4,B4,B,All,0,0
AllB4,B4,B,All,1,-24.73333333333329
AllB4,B4,B,All,10,33.33333333333337
AllB4,B4,B,All,11,0.4444444444444571
AllB4,B4,B,All,12,35.55555555555554
AllB4,B4,B,All,13,22.66666666666663
AllB4,B4,B,All,14,45
AllB4,B4,B,All,2,98.88888888888886
AllB4,B4,B,All,3,37
AllB4,B4,B,All,4,42.222222222222285
AllB4,B4,B,All,5,-5.888888888888914
AllB4,B4,B,All,6,-2.7777777777778283
AllB4,B4,B,All,7,34
AllB4,B4,B,All,8,12.777777777777828
AllB4,B4,B,All,9,-10.888888888888914
AllB5,B5,B,All,0,0
AllB5,B5,B,All,1,15.199999999999989
AllB5,B5,B,All,10,13.899999999999977
AllB5,B5,B,All,11,42.60000000000002
AllB5,B5,B,All,12,9.100000000000023
AllB5,B5,B,All,13,28.200000000000045
AllB5,B5,B,All,14,20.09999999999991
AllB5,B5,B,All,2,146.60000000000002
AllB5,B5,B,All,3,-73
AllB5,B5,B,All,4,41.69999999999999
AllB5,B5,B,All,5,9.099999999999966
AllB5,B5,B,All,6,3.8000000000000114
AllB5,B5,B,All,7,26
AllB5,B5,B,All,8,3.900000000000034
AllB5,B5,B,All,9,24.799999999999955
AllB6,B6,B,All,0,0
AllB6,B6,B,All,1,19.644444444444446
AllB6,B6,B,All,10,44
AllB6,B6,B,All,11,-4
AllB6,B6,B,All,12,21.125
AllB6,B6,B,All,13,48.125
AllB6,B6,B,All,14,3.5
AllB6,B6,B,All,2,51.333333333333314
AllB6,B6,B,All,3,10.555555555555543
AllB6,B6,B,All,4,26.888888888888914
AllB6,B6,B,All,5,16.444444444444457
AllB6,B6,B,All,6,27.958333333333314
AllB6,B6,B,All,7,28.625
AllB6,B6,B,All,8,2
AllB6,B6,B,All,9,3.375
AllB7,B7,B,All,0,0
AllB7,B7,B,All,1,110.6
AllB7,B7,B,All,10,50.19999999999999
AllB7,B7,B,All,11,4.555555555555543
AllB7,B7,B,All,12,63.111111111111086
AllB7,B7,B,All,13,-21.16666666666663
AllB7,B7,B,All,14,4.5
AllB7,B7,B,All,2,44.60000000000002
AllB7,B7,B,All,3,-10.900000000000034
AllB7,B7,B,All,4,23.100000000000023
AllB7,B7,B,All,5,42.89999999999998
AllB7,B7,B,All,6,-27.399999999999977
AllB7,B7,B,All,7,42.30000000000001
AllB7,B7,B,All,8,-6.300000000000011
AllB7,B7,B,All,9,13.5
AllB8,B8,B,All,0,0
AllB8,B8,B,All,1,55.811111111111074
AllB8,B8,B,All,10,38.714285714285666
AllB8,B8,B,All,11,69.95238095238096
