Rep,Bloc,Trt,Strain,Time,Mass,Number,Mean
AllB1,B1,B,All,0,2528,10,252.8
AllB1,B1,B,All,1,3194,9,354.8888888888889
AllB1,B1,B,All,10,4817,9,535.2222222222222
AllB1,B1,B,All,11,5363,9,595.8888888888889
AllB1,B1,B,All,12,5468,9,607.5555555555555
AllB1,B1,B,All,13,5966,9,662.8888888888889
AllB1,B1,B,All,14,6103,9,678.1111111111111
AllB1,B1,B,All,2,3676,9,408.44444444444446
AllB1,B1,B,All,3,3876,9,430.6666666666667
AllB1,B1,B,All,4,4245,9,471.6666666666667
AllB1,B1,B,All,5,4275,9,475
AllB1,B1,B,All,6,4487,9,498.55555555555554
AllB1,B1,B,All,7,4674,9,519.3333333333334
AllB1,B1,B,All,8,4690,9,521.1111111111111
AllB1,B1,B,All,9,4857,9,539.6666666666666
AllB10,B10,B,All,0,2759,10,275.9
AllB10,B10,B,All,1,3314,10,331.4
AllB10,B10,B,All,10,5130,9,570
AllB10,B10,B,All,11,5680,9,631.1111111111111
AllB10,B10,B,All,12,5775,9,641.6666666666666
AllB10,B10,B,All,13,6436,9,715.1111111111111
AllB10,B10,B,All,14,6508,9,723.1111111111111
AllB10,B10,B,All,2,3884,10,388.4
AllB10,B10,B,All,3,4037,10,403.7
AllB10,B10,B,All,4,4049,9,449.8888888888889
AllB10,B10,B,All,5,4360,9,484.44444444444446
AllB10,B10,B,All,6,4290,9,476.6666666666667
AllB10,B10,B,All,7,4431,9,492.3333333333333
AllB10,B10,B,All,8,4366,9,485.1111111111111
AllB10,B10,B,All,9,4589,9,509.8888888888889
AllB2,B2,B,All,0,2601,10,260.1
AllB2,B2,B,All,1,2460,9,273.3333333333333
AllB2,B2,B,All,10,4743,9,527
AllB2,B2,B,All,11,5078,9,564.2222222222222
AllB2,B2,B,All,12,4730,8,591.25
AllB2,B2,B,All,13,5003,8,625.375
AllB2,B2,B,All,14,5330,8,666.25
AllB2,B2,B,All,2,3589,9,398.77777777777777
AllB2,B2,B,All,3,3845,9,427.22222222222223
AllB2,B2,B,All,4,3979,9,442.1111111111111
AllB2,B2,B,All,5,4175,9,463.8888888888889
AllB2,B2,B,All,6,4565,9,507.22222222222223
AllB2,B2,B,All,7,4664,9,518.2222222222222
AllB2,B2,B,All,8,4668,9,518.6666666666666
AllB2,B2,B,All,9,4705,9,522.7777777777778
AllB3,B3,B,All,0,3306,10,330.6
AllB3,B3,B,All,1,3620,10,362
AllB3,B3,B,All,10,5024,9,558.2222222222222
AllB3,B3,B,All,11,5209,9,578.7777777777778
AllB3,B3,B,All,12,5385,9,598.3333333333334
AllB3,B3,B,All,13,5769,9,641
AllB3,B3,B,All,14,5610,9,623.3333333333334
AllB3,B3,B,All,2,4381,10,438.1
AllB3,B3,B,All,3,3986,9,442.8888888888889
AllB3,B3,B,All,4,4211,9,467.8888888888889
AllB3,B3,B,All,5,4395,9,488.3333333333333
AllB3,B3,B,All,6,4462,9,495.77777777777777
AllB3,B3,B,All,7,4779,9,531
AllB3,B3,B,All,8,5066,9,562.8888888888889
AllB3,B3,B,All,9,5090,9,565.5555555555555
AllB4,B4,B,All,0,3744,10,374.4
AllB4,B4,B,All,1,3147,9,349.6666666666667
AllB4,B4,B,All,10,5295,9,588.3333333333334
AllB4,B4,B,All,11,5299,9,588.7777777777778
AllB4,B4,B,All,12,5619,9,624.3333333333334
AllB4,B4,B,All,13,5176,8,647
AllB4,B4,B,All,14,5536,8,692
AllB4,B4,B,All,2,4037,9,448.55555555555554
AllB4,B4,B,All,3,4370,9,485.55555555555554
AllB4,B4,B,All,4,4750,9,527.7777777777778
AllB4,B4,B,All,5,4697,9,521.8888888888889
AllB4,B4,B,All,6,4672,9,519.1111111111111
AllB4,B4,B,All,7,4978,9,553.1111111111111
AllB4,B4,B,All,8,5093,9,565.8888888888889
AllB4,B4,B,All,9,4995,9,555
AllB5,B5,B,All,0,3343,10,334.3
AllB5,B5,B,All,1,3495,10,349.5
AllB5,B5,B,All,10,5463,10,546.3
AllB5,B5,B,All,11,5889,10,588.9
AllB5,B5,B,All,12,5980,10,598
AllB5,B5,B,All,13,6262,10,626.2
AllB5,B5,B,All,14,6463,10,646.3
AllB5,B5,B,All,2,4961,10,496.1
AllB5,B5,B,All,3,4231,10,423.1
AllB5,B5,B,All,4,4648,10,464.8
AllB5,B5,B,All,5,4739,10,473.9
AllB5,B5,B,All,6,4777,10,477.7
AllB5,B5,B,All,7,5037,10,503.7
AllB5,B5,B,All,8,5076,10,507.6
AllB5,B5,B,All,9,5324,10,532.4
AllB6,B6,B,All,0,2698,10,269.8
AllB6,B6,B,All,1,2605,9,289.44444444444446
AllB6,B6,B,All,10,4005,8,500.625
AllB6,B6,B,All,11,3973,8,496.625
AllB6,B6,B,All,12,4142,8,517.75
AllB6,B6,B,All,13,4527,8,565.875
AllB6,B6,B,All,14,4555,8,569.375
AllB6,B6,B,All,2,3067,9,340.77777777777777
AllB6,B6,B,All,3,3162,9,351.3333333333333
AllB6,B6,B,All,4,3404,9,378.22222222222223
AllB6,B6,B,All,5,3552,9,394.6666666666667
AllB6,B6,B,All,6,3381,8,422.625
AllB6,B6,B,All,7,3610,8,451.25
AllB6,B6,B,All,8,3626,8,453.25
AllB6,B6,B,All,9,3653,8,456.625
AllB7,B7,B,All,0,2434,10,243.4
AllB7,B7,B,All,1,3540,10,354
AllB7,B7,B,All,10,4734,9,526
AllB7,B7,B,All,11,4775,9,530.5555555555555
AllB7,B7,B,All,12,5343,9,593.6666666666666
AllB7,B7,B,All,13,4580,8,572.5
AllB7,B7,B,All,14,4616,8,577
AllB7,B7,B,All,2,3986,10,398.6
AllB7,B7,B,All,3,3877,10,387.7
AllB7,B7,B,All,4,4108,10,410.8
AllB7,B7,B,All,5,4537,10,453.7
AllB7,B7,B,All,6,4263,10,426.3
AllB7,B7,B,All,7,4686,10,468.6
AllB7,B7,B,All,8,4623,10,462.3
AllB7,B7,B,All,9,4758,10,475.8
AllB8,B8,B,All,0,3233,10,323.3
AllB8,B8,B,All,1,3412,9,379.1111111111111
AllB8,B8,B,All,10,3659,7,522.7142857142857
AllB8,B8,B,All,11,3556,6,592.6666666666666
AllB8,B8,B,All,12,3650,6,608.3333333333334
AllB8,B8,B,All,13,3749,6,624.8333333333334
AllB8,B8,B,All,14,3860,6,643.3333333333334
AllB8,B8,B,All,2,3193,8,399.125
AllB8,B8,B,All,3,3240,8,405
AllB8,B8,B,All,4,3290,8,411.25
AllB8,B8,B,All,5,3422,8,427.75
AllB8,B8,B,All,6,3570,8,446.25
AllB8,B8,B,All,7,3696,8,462
AllB8,B8,B,All,8,3772,8,471.5
AllB8,B8,B,All,9,3872,8,484
AllB9,B9,B,All,0,3161,10,316.1
AllB9,B9,B,All,1,2882,10,288.2
AllB9,B9,B,All,10,4241,9,471.22222222222223
AllB9,B9,B,All,11,4391,9,487.8888888888889
AllB9,B9,B,All,12,3840,8,480
AllB9,B9,B,All,13,4155,8,519.375
AllB9,B9,B,All,14,4660,8,582.5
AllB9,B9,B,All,2,3418,10,341.8
AllB9,B9,B,All,3,3369,10,336.9
AllB9,B9,B,All,4,3449,10,344.9
AllB9,B9,B,All,5,3562,10,356.2
AllB9,B9,B,All,6,3595,10,359.5
AllB9,B9,B,All,7,3787,10,378.7
AllB9,B9,B,All,8,4017,10,401.7
AllB9,B9,B,All,9,4104,10,410.4
AllC1,B1,C,All,0,3080,10,308
AllC1,B1,C,All,1,3052,10,305.2
AllC1,B1,C,All,10,6042,10,604.2
AllC1,B1,C,All,11,6350,10,635
AllC1,B1,C,All,12,6741,10,674.1
AllC1,B1,C,All,13,7127,10,712.7
AllC1,B1,C,All,14,7191,10,719.1
AllC1,B1,C,All,2,3866,10,386.6
AllC1,B1,C,All,3,4096,10,409.6
AllC1,B1,C,All,4,4696,10,469.6
AllC1,B1,C,All,5,4769,10,476.9
AllC1,B1,C,All,6,4591,10,459.1
AllC1,B1,C,All,7,5313,10,531.3
AllC1,B1,C,All,8,5376,10,537.6
AllC1,B1,C,All,9,5494,10,549.4
AllC10,B10,C,All,0,2460,10,246
AllC10,B10,C,All,1,3580,10,358
AllC10,B10,C,All,10,5401,9,600.1111111111111
AllC10,B10,C,All,11,6040,9,671.1111111111111
AllC10,B10,C,All,12,6814,9,757.1111111111111
AllC10,B10,C,All,13,6469,9,718.7777777777778
AllC10,B10,C,All,14,6580,9,731.1111111111111
AllC10,B10,C,All,2,4469,10,446.9
AllC10,B10,C,All,3,4781,10,478.1
AllC10,B10,C,All,4,5002,10,500.2
AllC10,B10,C,All,5,5115,10,511.5
AllC10,B10,C,All,6,5212,10,521.2
AllC10,B10,C,All,7,5151,10,515.1
AllC10,B10,C,All,8,5640,10,564
AllC10,B10,C,All,9,5223,9,580.3333333333334
AllC2,B2,C,All,0,2992,10,299.2
AllC2,B2,C,All,1,3197,10,319.7
AllC2,B2,C,All,10,6023,10,602.3
AllC2,B2,C,All,11,6644,10,664.4
AllC2,B2,C,All,12,6922,10,692.2
AllC2,B2,C,All,13,7384,10,738.4
AllC2,B2,C,All,14,7516,10,751.6
AllC2,B2,C,All,2,4303,10,430.3
AllC2,B2,C,All,3,4545,10,454.5
AllC2,B2,C,All,4,4650,10,465
AllC2,B2,C,All,5,5078,10,507.8
AllC2,B2,C,All,6,5125,10,512.5
AllC2,B2,C,All,7,5210,10,521
AllC2,B2,C,All,8,5570,10,557
AllC2,B2,C,All,9,5551,10,555.1
AllC3,B3,C,All,0,3141,10,314.1
AllC3,B3,C,All,1,3415,10,341.5
AllC3,B3,C,All,10,5639,10,563.9
AllC3,B3,C,All,11,6056,10,605.6
AllC3,B3,C,All,12,6622,10,662.2
AllC3,B3,C,All,13,6795,10,679.5
AllC3,B3,C,All,14,6958,10,695.8
AllC3,B3,C,All,2,4029,10,402.9
AllC3,B3,C,All,3,4375,10,437.5
AllC3,B3,C,All,4,4738,10,473.8
AllC3,B3,C,All,5,4932,10,493.2
AllC3,B3,C,All,6,5019,10,501.9
AllC3,B3,C,All,7,4934,10,493.4
AllC3,B3,C,All,8,5144,10,514.4
AllC3,B3,C,All,9,5134,10,513.4
AllC4,B4,C,All,0,2432,10,243.2
AllC4,B4,C,All,1,2619,10,261.9
AllC4,B4,C,All,10,4160,10,416
AllC4,B4,C,All,11,4630,10,463
AllC4,B4,C,All,12,5501,10,550.1
AllC4,B4,C,All,13,4808,9,534.2222222222222
AllC4,B4,C,All,14,5400,9,600
AllC4,B4,C,All,2,3829,10,382.9
AllC4,B4,C,All,3,3389,10,338.9
AllC4,B4,C,All,4,3674,10,367.4
AllC4,B4,C,All,5,3926,10,392.6
AllC4,B4,C,All,6,3864,10,386.4
AllC4,B4,C,All,7,4007,10,400.7
AllC4,B4,C,All,8,3987,10,398.7
AllC4,B4,C,All,9,3994,10,399.4
AllC5,B5,C,All,0,2619,10,261.9
