Rep,Bloc,Trt,Strain,Time,Survival,Mortality
AllB1,B1,B,All,1,9,10
AllB1,B1,B,All,2,9,10
AllB1,B1,B,All,3,9,10
AllB1,B1,B,All,4,9,10
AllB1,B1,B,All,5,9,10
AllB1,B1,B,All,6,9,10
AllB1,B1,B,All,7,9,10
AllB1,B1,B,All,8,9,10
AllB1,B1,B,All,9,9,10
AllB1,B1,B,All,10,9,10
AllB1,B1,B,All,11,9,10
AllB1,B1,B,All,12,9,10
AllB1,B1,B,All,13,9,10
AllB1,B1,B,All,14,9,10
AllB1,B1,B,All,0,10,0
AllB10,B10,B,All,1,10,0
AllB10,B10,B,All,2,10,0
AllB10,B10,B,All,3,10,0
AllB10,B10,B,All,4,9,10
AllB10,B10,B,All,5,9,10
AllB10,B10,B,All,6,9,10
AllB10,B10,B,All,7,9,10
AllB10,B10,B,All,8,9,10
AllB10,B10,B,All,9,9,10
AllB10,B10,B,All,10,9,10
AllB10,B10,B,All,11,9,10
AllB10,B10,B,All,12,9,10
AllB10,B10,B,All,13,9,10
AllB10,B10,B,All,14,9,10
AllB10,B10,B,All,0,10,0
AllB2,B2,B,All,1,9,10
AllB2,B2,B,All,2,9,10
AllB2,B2,B,All,3,9,10
AllB2,B2,B,All,4,9,10
AllB2,B2,B,All,5,9,10
AllB2,B2,B,All,6,9,10
AllB2,B2,B,All,7,9,10
AllB2,B2,B,All,8,9,10
AllB2,B2,B,All,9,9,10
AllB2,B2,B,All,10,9,10
AllB2,B2,B,All,11,9,10
AllB2,B2,B,All,12,8,20
AllB2,B2,B,All,13,8,20
AllB2,B2,B,All,14,8,20
AllB2,B2,B,All,0,10,0
AllB3,B3,B,All,1,10,0
AllB3,B3,B,All,2,10,0
AllB3,B3,B,All,3,9,10
AllB3,B3,B,All,4,9,10
AllB3,B3,B,All,5,9,10
AllB3,B3,B,All,6,9,10
AllB3,B3,B,All,7,9,10
AllB3,B3,B,All,8,9,10
AllB3,B3,B,All,9,9,10
AllB3,B3,B,All,10,9,10
AllB3,B3,B,All,11,9,10
AllB3,B3,B,All,12,9,10
AllB3,B3,B,All,13,9,10
AllB3,B3,B,All,14,9,10
AllB3,B3,B,All,0,10,0
AllB4,B4,B,All,1,9,10
AllB4,B4,B,All,2,9,10
AllB4,B4,B,All,3,9,10
AllB4,B4,B,All,4,9,10
AllB4,B4,B,All,5,9,10
AllB4,B4,B,All,6,9,10
AllB4,B4,B,All,7,9,10
AllB4,B4,B,All,8,9,10
AllB4,B4,B,All,9,9,10
AllB4,B4,B,All,10,9,10
AllB4,B4,B,All,11,9,10
AllB4,B4,B,All,12,9,10
AllB4,B4,B,All,13,8,20
AllB4,B4,B,All,14,8,20
AllB4,B4,B,All,0,10,0
AllB5,B5,B,All,1,10,0
AllB5,B5,B,All,2,10,0
AllB5,B5,B,All,3,10,0
AllB5,B5,B,All,4,10,0
AllB5,B5,B,All,5,10,0
AllB5,B5,B,All,6,10,0
AllB5,B5,B,All,7,10,0
AllB5,B5,B,All,8,10,0
AllB5,B5,B,All,9,10,0
AllB5,B5,B,All,10,10,0
AllB5,B5,B,All,11,10,0
AllB5,B5,B,All,12,10,0
AllB5,B5,B,All,13,10,0
AllB5,B5,B,All,14,10,0
AllB5,B5,B,All,0,10,0
AllB6,B6,B,All,1,9,10
AllB6,B6,B,All,2,9,10
AllB6,B6,B,All,3,9,10
AllB6,B6,B,All,4,9,10
AllB6,B6,B,All,5,9,10
AllB6,B6,B,All,6,8,20
AllB6,B6,B,All,7,8,20
AllB6,B6,B,All,8,8,20
AllB6,B6,B,All,9,8,20
AllB6,B6,B,All,10,8,20
AllB6,B6,B,All,11,8,20
AllB6,B6,B,All,12,8,20
AllB6,B6,B,All,13,8,20
AllB6,B6,B,All,14,8,20
AllB6,B6,B,All,0,10,0
AllB7,B7,B,All,1,10,0
AllB7,B7,B,All,2,10,0
AllB7,B7,B,All,3,10,0
AllB7,B7,B,All,4,10,0
AllB7,B7,B,All,5,10,0
AllB7,B7,B,All,6,10,0
AllB7,B7,B,All,7,10,0
AllB7,B7,B,All,8,10,0
AllB7,B7,B,All,9,10,0
AllB7,B7,B,All,10,9,10
AllB7,B7,B,All,11,9,10
AllB7,B7,B,All,12,9,10
AllB7,B7,B,All,13,8,20
AllB7,B7,B,All,14,8,20
AllB7,B7,B,All,0,10,0
AllB8,B8,B,All,1,9,10
AllB8,B8,B,All,2,8,20
AllB8,B8,B,All,3,8,20
AllB8,B8,B,All,4,8,20
AllB8,B8,B,All,5,8,20
AllB8,B8,B,All,6,8,20
AllB8,B8,B,All,7,8,20
AllB8,B8,B,All,8,8,20
AllB8,B8,B,All,9,8,20
AllB8,B8,B,All,10,7,30
AllB8,B8,B,All,11,6,40
AllB8,B8,B,All,12,6,40
AllB8,B8,B,All,13,6,40
AllB8,B8,B,All,14,6,40
AllB8,B8,B,All,0,10,0
AllB9,B9,B,All,1,10,0
AllB9,B9,B,All,2,10,0
AllB9,B9,B,All,3,10,0
AllB9,B9,B,All,4,10,0
AllB9,B9,B,All,5,10,0
AllB9,B9,B,All,6,10,0
AllB9,B9,B,All,7,10,0
AllB9,B9,B,All,8,10,0
AllB9,B9,B,All,9,10,0
AllB9,B9,B,All,10,9,10
AllB9,B9,B,All,11,9,10
AllB9,B9,B,All,12,8,20
AllB9,B9,B,All,13,8,20
AllB9,B9,B,All,14,8,20
AllB9,B9,B,All,0,10,0
