Rep,Bloc,Souche,Traitement,Piq,6,Sem,Cro
CanCBact1,1,Canada,C,Bact,378.7,7,303.7
CanCBact1,1,Canada,C,Bact,378.7,8,556
CanCBact1,1,Canada,C,Bact,378.7,9,750.0999999999999
CanCBact1,1,Canada,C,Bact,378.7,10,977.7444444444443
CanCBact1,1,Canada,C,Bact,378.7,11,998.3
CanCBact10,10,Canada,C,Bact,334,7,206.55555555555554
CanCBact10,10,Canada,C,Bact,334,8,469.66666666666663
CanCBact10,10,Canada,C,Bact,334,9,658.1111111111111
CanCBact10,10,Canada,C,Bact,334,10,987
CanCBact10,10,Canada,C,Bact,334,11,966.5
CanCBact2,2,Canada,C,Bact,330.6,7,262.29999999999995
CanCBact2,2,Canada,C,Bact,330.6,8,574.6999999999999
CanCBact2,2,Canada,C,Bact,330.6,9,746.1
CanCBact2,2,Canada,C,Bact,330.6,10,999.8000000000001
CanCBact2,2,Canada,C,Bact,330.6,11,1032.15
CanCBact3,3,Canada,C,Bact,403.6,7,277.29999999999995
CanCBact3,3,Canada,C,Bact,403.6,8,616.4
CanCBact3,3,Canada,C,Bact,403.6,9,818.15
CanCBact3,3,Canada,C,Bact,403.6,10,1079.542857142857
CanCBact3,3,Canada,C,Bact,403.6,11,1235.1999999999998
CanCBact4,4,Canada,C,Bact,430.6,7,274
CanCBact4,4,Canada,C,Bact,430.6,8,601.5111111111111
CanCBact4,4,Canada,C,Bact,430.6,9,700.025
CanCBact4,4,Canada,C,Bact,430.6,10,845.275
CanCBact4,4,Canada,C,Bact,430.6,11,946.7333333333332
CanCBact5,5,Canada,C,Bact,315,7,235.5
CanCBact5,5,Canada,C,Bact,315,8,460.9
CanCBact5,5,Canada,C,Bact,315,9,615
CanCBact5,5,Canada,C,Bact,315,10,982.375
CanCBact5,5,Canada,C,Bact,315,11,1089.142857142857
CanCBact6,6,Canada,C,Bact,332.2,7,271.59999999999997
CanCBact6,6,Canada,C,Bact,332.2,8,498.40000000000003
CanCBact6,6,Canada,C,Bact,332.2,9,714.2
CanCBact6,6,Canada,C,Bact,332.2,10,902.8
CanCBact6,6,Canada,C,Bact,332.2,11,1070.1333333333332
CanCBact7,7,Canada,C,Bact,346.3,7,293.49999999999994
CanCBact7,7,Canada,C,Bact,346.3,8,626.0999999999999
CanCBact7,7,Canada,C,Bact,346.3,9,700.4777777777779
CanCBact7,7,Canada,C,Bact,346.3,10,1012.325
CanCBact7,7,Canada,C,Bact,346.3,11,1134.3666666666668
CanCBact8,8,Canada,C,Bact,365.1,7,186.29999999999995
CanCBact8,8,Canada,C,Bact,365.1,8,486.9
CanCBact8,8,Canada,C,Bact,365.1,9,832.4714285714286
CanCBact8,8,Canada,C,Bact,365.1,10,889.4714285714286
CanCBact8,8,Canada,C,Bact,365.1,11,1077.7333333333331
CanCBact9,9,Canada,C,Bact,218.8,7,155.8
CanCBact9,9,Canada,C,Bact,218.8,8,337.8
CanCBact9,9,Canada,C,Bact,218.8,9,536
CanCBact9,9,Canada,C,Bact,218.8,10,807.9000000000001
CanCBact9,9,Canada,C,Bact,218.8,11,869.2
CanCSte1,1,Canada,C,Ste,324.4,7,296.80000000000007
CanCSte1,1,Canada,C,Ste,324.4,8,458.6
CanCSte1,1,Canada,C,Ste,324.4,9,710.9333333333333
CanCSte1,1,Canada,C,Ste,324.4,10,935.8222222222222
CanCSte1,1,Canada,C,Ste,324.4,11,1125.8000000000002
CanCSte10,10,Canada,C,Ste,301.3,7,242.14444444444445
CanCSte10,10,Canada,C,Ste,301.3,8,485.5888888888889
CanCSte10,10,Canada,C,Ste,301.3,9,865.7
CanCSte10,10,Canada,C,Ste,301.3,10,963.325
CanCSte10,10,Canada,C,Ste,301.3,11,1054.5333333333333
CanCSte2,2,Canada,C,Ste,309.2,7,263.09999999999997
CanCSte2,2,Canada,C,Ste,309.2,8,592.9000000000001
CanCSte2,2,Canada,C,Ste,309.2,9,746.3999999999999
CanCSte2,2,Canada,C,Ste,309.2,10,889.8
CanCSte2,2,Canada,C,Ste,309.2,11,1083.1333333333332
CanCSte3,3,Canada,C,Ste,313.2,7,152.90000000000003
CanCSte3,3,Canada,C,Ste,313.2,8,453.09999999999997
CanCSte3,3,Canada,C,Ste,313.2,9,714.911111111111
CanCSte3,3,Canada,C,Ste,313.2,10,986.4666666666667
CanCSte3,3,Canada,C,Ste,313.2,11,1053.8
CanCSte4,4,Canada,C,Ste,372.2,7,268.90000000000003
CanCSte4,4,Canada,C,Ste,372.2,8,526.0999999999999
CanCSte4,4,Canada,C,Ste,372.2,9,738.175
CanCSte4,4,Canada,C,Ste,372.2,10,983.3555555555556
CanCSte4,4,Canada,C,Ste,372.2,11,976.5999999999999
CanCSte5,5,Canada,C,Ste,313.4,7,248.30000000000007
CanCSte5,5,Canada,C,Ste,313.4,8,462.1
CanCSte5,5,Canada,C,Ste,313.4,9,819.4888888888889
CanCSte5,5,Canada,C,Ste,313.4,10,925.5000000000001
CanCSte5,5,Canada,C,Ste,313.4,11,953.6
CanCSte6,6,Canada,C,Ste,303.3,7,237.99999999999994
CanCSte6,6,Canada,C,Ste,303.3,8,449.7
CanCSte6,6,Canada,C,Ste,303.3,9,671.7
CanCSte6,6,Canada,C,Ste,303.3,10,895.075
CanCSte6,6,Canada,C,Ste,303.3,11,1031.7
CanCSte7,7,Canada,C,Ste,328.7,7,237.90000000000003
CanCSte7,7,Canada,C,Ste,328.7,8,590.5
CanCSte7,7,Canada,C,Ste,328.7,9,836.05
CanCSte7,7,Canada,C,Ste,328.7,10,1016.5222222222221
CanCSte7,7,Canada,C,Ste,328.7,11,1110.3
CanCSte8,8,Canada,C,Ste,275.7,7,171.8
CanCSte8,8,Canada,C,Ste,275.7,8,441.59999999999997
CanCSte8,8,Canada,C,Ste,275.7,9,740.3
CanCSte8,8,Canada,C,Ste,275.7,10,964.3999999999999
CanCSte8,8,Canada,C,Ste,275.7,11,996.8
CanCSte9,9,Canada,C,Ste,263.6,7,216.2
CanCSte9,9,Canada,C,Ste,263.6,8,514
CanCSte9,9,Canada,C,Ste,263.6,9,682.1999999999999
CanCSte9,9,Canada,C,Ste,263.6,10,987.4
CanCSte9,9,Canada,C,Ste,263.6,11,1064.9555555555557
CanDBact1,1,Canada,D,Bact,438.7,7,356.90000000000003
CanDBact1,1,Canada,D,Bact,438.7,8,543
CanDBact1,1,Canada,D,Bact,438.7,9,818.3
CanDBact1,1,Canada,D,Bact,438.7,10,998.0142857142857
CanDBact1,1,Canada,D,Bact,438.7,11,1125.8
CanDBact10,10,Canada,D,Bact,241.5,7,198.8
CanDBact10,10,Canada,D,Bact,241.5,8,359.6
CanDBact10,10,Canada,D,Bact,241.5,9,611.6
CanDBact10,10,Canada,D,Bact,241.5,10,901.2777777777778
CanDBact10,10,Canada,D,Bact,241.5,11,1151.642857142857
CanDBact2,2,Canada,D,Bact,304.3,7,233.40000000000003
CanDBact2,2,Canada,D,Bact,304.3,8,588.3
CanDBact2,2,Canada,D,Bact,304.3,9,708.5999999999999
CanDBact2,2,Canada,D,Bact,304.3,10,970.4000000000001
CanDBact2,2,Canada,D,Bact,304.3,11,1054.7
CanDBact3,3,Canada,D,Bact,463,7,394.2222222222222
CanDBact3,3,Canada,D,Bact,463,8,686.8888888888889
CanDBact3,3,Canada,D,Bact,463,9,824.3333333333333
CanDBact3,3,Canada,D,Bact,463,10,1055
CanDBact3,3,Canada,D,Bact,463,11,1122
CanDBact4,4,Canada,D,Bact,387.6,7,202.10000000000002
CanDBact4,4,Canada,D,Bact,387.6,8,489.5
CanDBact4,4,Canada,D,Bact,387.6,9,602.9555555555555
CanDBact4,4,Canada,D,Bact,387.6,10,874.65
CanDBact4,4,Canada,D,Bact,387.6,11,812.9999999999999
CanDBact5,5,Canada,D,Bact,382.8,7,179.90000000000003
CanDBact5,5,Canada,D,Bact,382.8,8,420.09999999999997
CanDBact5,5,Canada,D,Bact,382.8,9,721.7
CanDBact5,5,Canada,D,Bact,382.8,10,969.2
CanDBact5,5,Canada,D,Bact,382.8,11,1124.7
CanDBact6,6,Canada,D,Bact,387.3,7,303.8
CanDBact6,6,Canada,D,Bact,387.3,8,584.2
CanDBact6,6,Canada,D,Bact,387.3,9,773.4777777777779
CanDBact6,6,Canada,D,Bact,387.3,10,1045.8111111111111
CanDBact6,6,Canada,D,Bact,387.3,11,1184.7
CanDBact7,7,Canada,D,Bact,326.6,7,197.5
CanDBact7,7,Canada,D,Bact,326.6,8,585
CanDBact7,7,Canada,D,Bact,326.6,9,813.5111111111111
CanDBact7,7,Canada,D,Bact,326.6,10,1033.177777777778
CanDBact7,7,Canada,D,Bact,326.6,11,1215.9
CanDBact8,8,Canada,D,Bact,330.2,7,211.7
CanDBact8,8,Canada,D,Bact,330.2,8,196.8
CanDBact8,8,Canada,D,Bact,330.2,9,734.3
CanDBact8,8,Canada,D,Bact,330.2,10,890.675
CanDBact8,8,Canada,D,Bact,330.2,11,865
CanDBact9,9,Canada,D,Bact,258.9,7,226.3
CanDBact9,9,Canada,D,Bact,258.9,8,545.5
CanDBact9,9,Canada,D,Bact,258.9,9,636.5
CanDBact9,9,Canada,D,Bact,258.9,10,997.1999999999999
CanDBact9,9,Canada,D,Bact,258.9,11,1062.4333333333334
CanDSte1,1,Canada,D,Ste,408.8,7,297.2
CanDSte1,1,Canada,D,Ste,408.8,8,511.90000000000003
CanDSte1,1,Canada,D,Ste,408.8,9,704.2
CanDSte1,1,Canada,D,Ste,408.8,10,878.2
CanDSte1,1,Canada,D,Ste,408.8,11,1101.6000000000001
CanDSte10,10,Canada,D,Ste,279.7,7,147.8
CanDSte10,10,Canada,D,Ste,279.7,8,469.74444444444447
CanDSte10,10,Canada,D,Ste,279.7,9,763.6333333333332
CanDSte10,10,Canada,D,Ste,279.7,10,957.0777777777778
CanDSte10,10,Canada,D,Ste,279.7,11,1050.3
CanDSte2,2,Canada,D,Ste,422.1,7,257.1
CanDSte2,2,Canada,D,Ste,422.1,8,675.6
CanDSte2,2,Canada,D,Ste,422.1,9,828.9
CanDSte2,2,Canada,D,Ste,422.1,10,994.6142857142858
CanDSte2,2,Canada,D,Ste,422.1,11,1088.9
CanDSte3,3,Canada,D,Ste,331.9,7,236.39999999999998
CanDSte3,3,Canada,D,Ste,331.9,8,563.9
CanDSte3,3,Canada,D,Ste,331.9,9,791.1
CanDSte3,3,Canada,D,Ste,331.9,10,1025.975
CanDSte3,3,Canada,D,Ste,331.9,11,1036.3000000000002
CanDSte4,4,Canada,D,Ste,355.6,7,222.73333333333335
CanDSte4,4,Canada,D,Ste,355.6,8,512.0666666666666
CanDSte4,4,Canada,D,Ste,355.6,9,746.275
CanDSte4,4,Canada,D,Ste,355.6,10,944.9
CanDSte4,4,Canada,D,Ste,355.6,11,1020.9
CanDSte5,5,Canada,D,Ste,198.43391812865497,7,242.76608187134502
CanDSte5,5,Canada,D,Ste,198.43391812865497,8,539.4660818713451
CanDSte5,5,Canada,D,Ste,198.43391812865497,9,729.566081871345
CanDSte5,5,Canada,D,Ste,198.43391812865497,10,1072.366081871345
CanDSte5,5,Canada,D,Ste,198.43391812865497,11,1195.9946532999163
CanDSte6,6,Canada,D,Ste,388.3,7,293.49999999999994
CanDSte6,6,Canada,D,Ste,388.3,8,485.7
CanDSte6,6,Canada,D,Ste,388.3,9,718.4000000000001
CanDSte6,6,Canada,D,Ste,388.3,10,934.4000000000001
CanDSte6,6,Canada,D,Ste,388.3,11,958.7
CanDSte7,7,Canada,D,Ste,278.6,7,225.5
CanDSte7,7,Canada,D,Ste,278.6,8,582.6
CanDSte7,7,Canada,D,Ste,278.6,9,751.1777777777778
CanDSte7,7,Canada,D,Ste,278.6,10,1001.2888888888889
CanDSte7,7,Canada,D,Ste,278.6,11,1246.9
CanDSte8,8,Canada,D,Ste,329.1,7,255.10000000000002
CanDSte8,8,Canada,D,Ste,329.1,8,607.1
CanDSte8,8,Canada,D,Ste,329.1,9,647.9
CanDSte8,8,Canada,D,Ste,329.1,10,954.9999999999999
CanDSte8,8,Canada,D,Ste,329.1,11,1085.1
CanDSte9,9,Canada,D,Ste,204,7,172.60000000000002
CanDSte9,9,Canada,D,Ste,204,8,365.70000000000005
CanDSte9,9,Canada,D,Ste,204,9,575.1
CanDSte9,9,Canada,D,Ste,204,10,912.0999999999999
CanDSte9,9,Canada,D,Ste,204,11,1014.2222222222222
CanEBact1,1,Canada,E,Bact,421.3,7,197.99999999999994
CanEBact1,1,Canada,E,Bact,421.3,8,275.8
CanEBact1,1,Canada,E,Bact,421.3,9,407.2
CanEBact1,1,Canada,E,Bact,421.3,10,690.1000000000001
CanEBact1,1,Canada,E,Bact,421.3,11,802.9222222222222
CanEBact10,10,Canada,E,Bact,266.1,7,120.59999999999997
CanEBact10,10,Canada,E,Bact,266.1,8,314.9
CanEBact10,10,Canada,E,Bact,266.1,9,431.19999999999993
CanEBact10,10,Canada,E,Bact,266.1,10,687.5
CanEBact10,10,Canada,E,Bact,266.1,11,873.4
CanEBact2,2,Canada,E,Bact,438.6,7,-108
CanEBact2,2,Canada,E,Bact,438.6,8,378.9
CanEBact2,2,Canada,E,Bact,438.6,9,453.29999999999995
CanEBact2,2,Canada,E,Bact,438.6,10,598.4
CanEBact2,2,Canada,E,Bact,438.6,11,736.2888888888889
CanEBact3,3,Canada,E,Bact,343.9,7,165.60000000000002
CanEBact3,3,Canada,E,Bact,343.9,8,324.5
CanEBact3,3,Canada,E,Bact,343.9,9,422.20000000000005
CanEBact3,3,Canada,E,Bact,343.9,10,648.7
CanEBact3,3,Canada,E,Bact,343.9,11,762.5444444444444
CanEBact4,4,Canada,E,Bact,365.2,7,163.59999999999997
CanEBact4,4,Canada,E,Bact,365.2,8,333.40000000000003
CanEBact4,4,Canada,E,Bact,365.2,9,419.90000000000003
CanEBact4,4,Canada,E,Bact,365.2,10,664.3
CanEBact4,4,Canada,E,Bact,365.2,11,823.8
CanEBact5,5,Canada,E,Bact,378.2,7,101.40000000000003
CanEBact5,5,Canada,E,Bact,378.2,8,289.50000000000006
CanEBact5,5,Canada,E,Bact,378.2,9,386.09999999999997
CanEBact5,5,Canada,E,Bact,378.2,10,653.3
CanEBact5,5,Canada,E,Bact,378.2,11,703.5777777777778
CanEBact6,6,Canada,E,Bact,355.6,7,142.5
CanEBact6,6,Canada,E,Bact,355.6,8,293.5
CanEBact6,6,Canada,E,Bact,355.6,9,450.6
CanEBact6,6,Canada,E,Bact,355.6,10,598.9555555555555
CanEBact6,6,Canada,E,Bact,355.6,11,763.5428571428571
CanEBact7,7,Canada,E,Bact,289,7,107.10000000000002
CanEBact7,7,Canada,E,Bact,289,8,333.6
CanEBact7,7,Canada,E,Bact,289,9,439
CanEBact7,7,Canada,E,Bact,289,10,684.6
CanEBact7,7,Canada,E,Bact,289,11,826.7777777777778
CanEBact8,8,Canada,E,Bact,312,7,136.5
CanEBact8,8,Canada,E,Bact,312,8,317.1
CanEBact8,8,Canada,E,Bact,312,9,469.1
CanEBact8,8,Canada,E,Bact,312,10,637.9
CanEBact8,8,Canada,E,Bact,312,11,861.5555555555557
CanEBact9,9,Canada,E,Bact,189.6,7,77.28888888888892
CanEBact9,9,Canada,E,Bact,189.6,8,194.4
CanEBact9,9,Canada,E,Bact,189.6,9,288.0666666666667
CanEBact9,9,Canada,E,Bact,189.6,10,449.0666666666666
CanEBact9,9,Canada,E,Bact,189.6,11,574.6222222222221
CanESte1,1,Canada,E,Ste,390.6,7,181.10000000000002
CanESte1,1,Canada,E,Ste,390.6,8,353.5
CanESte1,1,Canada,E,Ste,390.6,9,483.6
CanESte1,1,Canada,E,Ste,390.6,10,700.7333333333332
CanESte1,1,Canada,E,Ste,390.6,11,848.525
CanESte10,10,Canada,E,Ste,296.8,7,70.09999999999997
CanESte10,10,Canada,E,Ste,296.8,8,234.99999999999994
CanESte10,10,Canada,E,Ste,296.8,9,381.99999999999994
CanESte10,10,Canada,E,Ste,296.8,10,554.9000000000001
CanESte10,10,Canada,E,Ste,296.8,11,803.7
CanESte2,2,Canada,E,Ste,349.1,7,156.29999999999995
CanESte2,2,Canada,E,Ste,349.1,8,401.69999999999993
CanESte2,2,Canada,E,Ste,349.1,9,505.9
CanESte2,2,Canada,E,Ste,349.1,10,716.7888888888889
CanESte2,2,Canada,E,Ste,349.1,11,840.9
CanESte3,3,Canada,E,Ste,364.4,7,232.26666666666665
CanESte3,3,Canada,E,Ste,364.4,8,365.7111111111111
CanESte3,3,Canada,E,Ste,364.4,9,445.30000000000007
CanESte3,3,Canada,E,Ste,364.4,10,750.1999999999999
CanESte3,3,Canada,E,Ste,364.4,11,775.6
CanESte4,4,Canada,E,Ste,373.4,7,109.20000000000005
CanESte4,4,Canada,E,Ste,373.4,8,267.80000000000007
CanESte4,4,Canada,E,Ste,373.4,9,370.6
CanESte4,4,Canada,E,Ste,373.4,10,578.3000000000001
CanESte4,4,Canada,E,Ste,373.4,11,718.6
CanESte5,5,Canada,E,Ste,314.7,7,166.9666666666667
CanESte5,5,Canada,E,Ste,314.7,8,371.1888888888889
CanESte5,5,Canada,E,Ste,314.7,9,418.2
CanESte5,5,Canada,E,Ste,314.7,10,632.5
CanESte5,5,Canada,E,Ste,314.7,11,810.8555555555556
CanESte6,6,Canada,E,Ste,255.1,7,144.29999999999998
CanESte6,6,Canada,E,Ste,255.1,8,303
CanESte6,6,Canada,E,Ste,255.1,9,429.6
CanESte6,6,Canada,E,Ste,255.1,10,725.5666666666666
CanESte6,6,Canada,E,Ste,255.1,11,786.9
CanESte7,7,Canada,E,Ste,335.2,7,72.30000000000001
CanESte7,7,Canada,E,Ste,335.2,8,291.8
CanESte7,7,Canada,E,Ste,335.2,9,381.50000000000006
CanESte7,7,Canada,E,Ste,335.2,10,508.8
CanESte7,7,Canada,E,Ste,335.2,11,732.1333333333332
CanESte8,8,Canada,E,Ste,240.6,7,78.79999999999998
CanESte8,8,Canada,E,Ste,240.6,8,206.00000000000003
CanESte8,8,Canada,E,Ste,240.6,9,332.5
CanESte8,8,Canada,E,Ste,240.6,10,412.19999999999993
CanESte8,8,Canada,E,Ste,240.6,11,742.1777777777778
CanESte9,9,Canada,E,Ste,243.1,7,96.23333333333332
CanESte9,9,Canada,E,Ste,243.1,8,261.7888888888889
CanESte9,9,Canada,E,Ste,243.1,9,377.4555555555555
CanESte9,9,Canada,E,Ste,243.1,10,578.6777777777778
CanESte9,9,Canada,E,Ste,243.1,11,795.4555555555556
CanPBact1,1,Canada,P,Bact,387.9,7,304.5444444444445
CanPBact1,1,Canada,P,Bact,387.9,8,546.7666666666667
CanPBact1,1,Canada,P,Bact,387.9,9,734.6
CanPBact1,1,Canada,P,Bact,387.9,10,1058.3857142857141
CanPBact1,1,Canada,P,Bact,387.9,11,1284.2666666666669
CanPBact10,10,Canada,P,Bact,285.9,7,167.40000000000003
CanPBact10,10,Canada,P,Bact,285.9,8,337.80000000000007
CanPBact10,10,Canada,P,Bact,285.9,9,656.5444444444445
CanPBact10,10,Canada,P,Bact,285.9,10,938.5444444444444
CanPBact10,10,Canada,P,Bact,285.9,11,869.3000000000001
CanPBact2,2,Canada,P,Bact,347.3,7,225.40000000000003
CanPBact2,2,Canada,P,Bact,347.3,8,598.5
CanPBact2,2,Canada,P,Bact,347.3,9,665.9000000000001
CanPBact2,2,Canada,P,Bact,347.3,10,1075.7
CanPBact2,2,Canada,P,Bact,347.3,11,1143.3666666666668
