Identity,Bloc,Trt,Wound,Strain,Time,Initial_Mass,Initial_Number,Initial_Mean,Mean,group,Mort_Acc,Times,Biomass
1-Can4ConSer-B4,B4,Con,Ser,Can,0,4572,10,457.2,457.2,Can Ser,0,0,4572
1-Can4ConSer-B4,B4,Con,Ser,Can,11,4572,10,457.2,568.4444444444445,Can Ser,1,11,5116
1-Can4ConSer-B4,B4,Con,Ser,Can,14,4572,10,457.2,765.8888888888889,Can Ser,1,14,6893
1-Can4ConSer-B4,B4,Con,Ser,Can,16,4572,10,457.2,865.125,Can Ser,2,16,6921
1-Can4ConSer-B4,B4,Con,Ser,Can,18,4572,10,457.2,858.375,Can Ser,2,18,6867
1-Can4ConSer-B4,B4,Con,Ser,Can,2,4572,10,457.2,471.8,Can Ser,0,2,4718
1-Can4ConSer-B4,B4,Con,Ser,Can,4,4572,10,457.2,492.77777777777777,Can Ser,1,4,4435
1-Can4ConSer-B4,B4,Con,Ser,Can,7,4572,10,457.2,592.2222222222222,Can Ser,1,7,5330
1-Can4ConSer-B4,B4,Con,Ser,Can,9,4572,10,457.2,566.2222222222222,Can Ser,1,9,5096
1-Can5LevSer-B5,B5,Lev,Ser,Can,0,5802,10,580.2,580.2,Can Ser,0,0,5802
1-Can5LevSer-B5,B5,Lev,Ser,Can,11,5802,10,580.2,920.8,Can Ser,0,11,9208
1-Can5LevSer-B5,B5,Lev,Ser,Can,14,5802,10,580.2,1022.8888888888889,Can Ser,1,14,9206
1-Can5LevSer-B5,B5,Lev,Ser,Can,16,5802,10,580.2,1165.8333333333333,Can Ser,2,16,9326.666666666666
1-Can5LevSer-B5,B5,Lev,Ser,Can,18,5802,10,580.2,1141.8333333333333,Can Ser,2,18,9134.666666666666
1-Can5LevSer-B5,B5,Lev,Ser,Can,2,5802,10,580.2,696.1,Can Ser,0,2,6961
1-Can5LevSer-B5,B5,Lev,Ser,Can,4,5802,10,580.2,746.8,Can Ser,0,4,7468
1-Can5LevSer-B5,B5,Lev,Ser,Can,7,5802,10,580.2,781.9,Can Ser,0,7,7819
1-Can5LevSer-B5,B5,Lev,Ser,Can,9,5802,10,580.2,915.7,Can Ser,0,9,9157
1-Gre2ConNon-B2,B2,Con,Non,Gre,0,4374,10,437.4,437.4,Gre Non,0,0,4374
1-Gre2ConNon-B2,B2,Con,Non,Gre,11,4374,10,437.4,1091.1,Gre Non,0,11,10911
1-Gre2ConNon-B2,B2,Con,Non,Gre,14,4374,10,437.4,1251,Gre Non,0,14,12510
1-Gre2ConNon-B2,B2,Con,Non,Gre,16,4374,10,437.4,1280.1,Gre Non,0,16,12801
1-Gre2ConNon-B2,B2,Con,Non,Gre,18,4374,10,437.4,1298.5,Gre Non,0,18,12985
1-Gre2ConNon-B2,B2,Con,Non,Gre,2,4374,10,437.4,566.4,Gre Non,0,2,5664
1-Gre2ConNon-B2,B2,Con,Non,Gre,4,4374,10,437.4,720.5,Gre Non,0,4,7205
1-Gre2ConNon-B2,B2,Con,Non,Gre,7,4374,10,437.4,769,Gre Non,0,7,7690
1-Gre2ConNon-B2,B2,Con,Non,Gre,9,4374,10,437.4,871.7,Gre Non,0,9,8717
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,0,5100,10,510,510,Gre Ste,0,0,5100
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,11,5100,10,510,944.1,Gre Ste,0,11,9441
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,14,5100,10,510,1231.8,Gre Ste,0,14,12318
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,16,5100,10,510,1250.4,Gre Ste,0,16,12504
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,18,5100,10,510,1226.7,Gre Ste,0,18,12267
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,2,5100,10,510,622.4,Gre Ste,0,2,6224
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,4,5100,10,510,703.9,Gre Ste,0,4,7039
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,7,5100,10,510,802.5,Gre Ste,0,7,8025
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,9,5100,10,510,852.2,Gre Ste,0,9,8522
1-Gre9ConSer-B9,B9,Con,Ser,Gre,0,4955,10,495.5,495.5,Gre Ser,0,0,4955
1-Gre9ConSer-B9,B9,Con,Ser,Gre,11,4955,10,495.5,1017.8888888888889,Gre Ser,1,11,9161
1-Gre9ConSer-B9,B9,Con,Ser,Gre,14,4955,10,495.5,1204,Gre Ser,1,14,10836
1-Gre9ConSer-B9,B9,Con,Ser,Gre,16,4955,10,495.5,1418.875,Gre Ser,2,16,11351
1-Gre9ConSer-B9,B9,Con,Ser,Gre,18,4955,10,495.5,1255.4444444444443,Gre Ser,1,18,11299
1-Gre9ConSer-B9,B9,Con,Ser,Gre,2,4955,10,495.5,552.6,Gre Ser,0,2,5526
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4,4955,10,495.5,576,Gre Ser,0,4,5760
1-Gre9ConSer-B9,B9,Con,Ser,Gre,7,4955,10,495.5,734.6,Gre Ser,0,7,7346
1-Gre9ConSer-B9,B9,Con,Ser,Gre,9,4955,10,495.5,934.4444444444445,Gre Ser,1,9,8410
1-Ita10LevNon-B10,B10,Lev,Non,Ita,0,5893,11,535.7272727272727,535.7272727272727,Ita Non,0,0,5357.272727272728
1-Ita10LevNon-B10,B10,Lev,Non,Ita,11,5893,11,535.7272727272727,1000,Ita Non,0,11,10000
1-Ita10LevNon-B10,B10,Lev,Non,Ita,14,5893,11,535.7272727272727,1234.2,Ita Non,0,14,12342
1-Ita10LevNon-B10,B10,Lev,Non,Ita,16,5893,11,535.7272727272727,1257.7,Ita Non,0,16,12577
1-Ita10LevNon-B10,B10,Lev,Non,Ita,18,5893,11,535.7272727272727,1244.9,Ita Non,0,18,12449
1-Ita10LevNon-B10,B10,Lev,Non,Ita,2,5893,11,535.7272727272727,643.1,Ita Non,0,2,6431
1-Ita10LevNon-B10,B10,Lev,Non,Ita,4,5893,11,535.7272727272727,752.1,Ita Non,0,4,7521
1-Ita10LevNon-B10,B10,Lev,Non,Ita,7,5893,11,535.7272727272727,836.7,Ita Non,0,7,8367
1-Ita10LevNon-B10,B10,Lev,Non,Ita,9,5893,11,535.7272727272727,915,Ita Non,0,9,9150
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,0,7393,10,739.3,739.3,Ita Ser,0,0,7393
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,11,7393,10,739.3,1046.25,Ita Ser,2,11,8370
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,14,7393,10,739.3,1020.1428571428571,Ita Ser,2,14,8161.142857142857
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,16,7393,10,739.3,1016.8333333333334,Ita Ser,2,16,8134.666666666667
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,18,7393,10,739.3,984,Ita Ser,2,18,7872
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,2,7393,10,739.3,699.5,Ita Ser,0,2,6995
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,4,7393,10,739.3,750.3333333333334,Ita Ser,1,4,6753
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,7,7393,10,739.3,810.5555555555555,Ita Ser,1,7,7295
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,9,7393,10,739.3,1018.875,Ita Ser,2,9,8151
1-Ita6ConNon-B6,B6,Con,Non,Ita,0,5393,10,539.3,539.3,Ita Non,0,0,5393
