Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Acc,Times
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,11,111.24444444444447,11
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,14,308.6888888888889,14
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,16,407.925,16
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,18,401.175,18
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,2,14.600000000000023,2
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,4,35.57777777777778,4
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,7,135.02222222222218,7
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,9,109.02222222222218,9
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,11,340.5999999999999,11
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,14,442.68888888888887,14
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,16,585.6333333333332,16
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,18,561.6333333333332,18
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,2,115.89999999999998,2
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,4,166.5999999999999,4
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,7,201.69999999999993,7
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,9,335.5,9
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,11,653.6999999999999,11
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,14,813.6,14
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,16,842.6999999999999,16
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,18,861.1,18
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,2,129,2
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,4,283.1,4
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,7,331.6,7
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,9,434.30000000000007,9
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,11,434.1,11
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,14,721.8,14
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,16,740.4000000000001,16
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,18,716.7,18
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,2,112.39999999999998,2
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,4,193.89999999999998,4
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,7,292.5,7
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,9,342.20000000000005,9
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,11,522.3888888888889,11
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,14,708.5,14
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,16,923.375,16
