Identity,Bloc,Trt,Wound,Strain,Initial_Mass,Initial_Number,Initial_Mean,group,Time,Growth_Rate,Times
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,11,1.1111111111111427,11
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,14,65.81481481481482,14
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,16,49.61805555555554,16
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,18,-3.375,18
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,2,4.866666666666674,2
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,4,10.48888888888888,4
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,7,33.14814814814813,7
1-Can4ConSer-B4,B4,Con,Ser,Can,4572,10,457.2,Ser Con,9,-13,9
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,11,2.5499999999999545,11
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,14,34.02962962962965,14
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,16,71.47222222222217,16
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,18,-12,18
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,2,38.633333333333326,2
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,4,25.349999999999966,4
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,7,11.700000000000008,7
1-Can5LevSer-B5,B5,Lev,Ser,Can,5802,10,580.2,Ser Lev,9,66.90000000000003,9
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,11,109.69999999999993,11
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,14,53.30000000000003,14
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,16,14.549999999999955,16
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,18,9.200000000000045,18
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,2,43,2
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,4,77.05000000000001,4
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,7,16.166666666666668,7
1-Gre2ConNon-B2,B2,Con,Non,Gre,4374,10,437.4,Non Con,9,51.35000000000002,9
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,11,45.94999999999999,11
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,14,95.89999999999998,14
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,16,9.300000000000068,16
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,18,-11.850000000000023,18
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,2,37.46666666666666,2
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,4,40.75,4
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,7,32.866666666666674,7
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,5100,10,510,Ste Lev,9,24.850000000000023,9
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,11,41.72222222222223,11
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,14,62.03703703703703,14
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,16,107.4375,16
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,18,-81.71527777777783,18
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,2,19.033333333333342,2
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,4,11.699999999999989,4
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,7,52.866666666666674,7
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4955,10,495.5,Ser Con,9,99.92222222222222,9
1-Ita10LevNon-B10,B10,Lev,Non,Ita,5893,11,535.7272727272727,Non Lev,11,42.5,11
1-Ita10LevNon-B10,B10,Lev,Non,Ita,5893,11,535.7272727272727,Non Lev,14,78.06666666666668,14
