Identity,Bloc,Trt,Wound,Strain,Day,Initial_Mass,Mass,Initial_Number,Number,Mean,Survival,True_Mass
1-Can4ConSer-B4,B4,Con,Ser,Can,11,4572,5116,10,9,568.4444444444445,9,5116
1-Can4ConSer-B4,B4,Con,Ser,Can,14,4572,6893,10,9,765.8888888888889,9,6893
1-Can4ConSer-B4,B4,Con,Ser,Can,16,4572,6921,10,8,865.125,8,6921
1-Can4ConSer-B4,B4,Con,Ser,Can,18,4572,6867,10,8,858.375,8,6867
1-Can4ConSer-B4,B4,Con,Ser,Can,2,4572,4718,10,10,471.8,10,4718
1-Can4ConSer-B4,B4,Con,Ser,Can,4,4572,4435,10,9,492.77777777777777,9,4435
1-Can4ConSer-B4,B4,Con,Ser,Can,7,4572,5330,10,9,592.2222222222222,9,5330
1-Can4ConSer-B4,B4,Con,Ser,Can,9,4572,5096,10,9,566.2222222222222,9,5096
1-Can5LevSer-B5,B5,Lev,Ser,Can,11,5802,9208,10,10,920.8,10,9208
1-Can5LevSer-B5,B5,Lev,Ser,Can,14,5802,9206,10,9,1022.8888888888889,9,9206
1-Can5LevSer-B5,B5,Lev,Ser,Can,16,5802,6995,10,6,1165.8333333333333,8,9326.666666666666
1-Can5LevSer-B5,B5,Lev,Ser,Can,18,5802,6851,10,6,1141.8333333333333,8,9134.666666666666
1-Can5LevSer-B5,B5,Lev,Ser,Can,2,5802,6961,10,10,696.1,10,6961
1-Can5LevSer-B5,B5,Lev,Ser,Can,4,5802,7468,10,10,746.8,10,7468
1-Can5LevSer-B5,B5,Lev,Ser,Can,7,5802,7819,10,10,781.9,10,7819
1-Can5LevSer-B5,B5,Lev,Ser,Can,9,5802,9157,10,10,915.7,10,9157
1-Gre2ConNon-B2,B2,Con,Non,Gre,11,4374,10911,10,10,1091.1,10,10911
1-Gre2ConNon-B2,B2,Con,Non,Gre,14,4374,12510,10,10,1251,10,12510
1-Gre2ConNon-B2,B2,Con,Non,Gre,16,4374,12801,10,10,1280.1,10,12801
1-Gre2ConNon-B2,B2,Con,Non,Gre,18,4374,12985,10,10,1298.5,10,12985
1-Gre2ConNon-B2,B2,Con,Non,Gre,2,4374,5664,10,10,566.4,10,5664
1-Gre2ConNon-B2,B2,Con,Non,Gre,4,4374,7205,10,10,720.5,10,7205
1-Gre2ConNon-B2,B2,Con,Non,Gre,7,4374,7690,10,10,769,10,7690
1-Gre2ConNon-B2,B2,Con,Non,Gre,9,4374,8717,10,10,871.7,10,8717
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,11,5100,9441,10,10,944.1,10,9441
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,14,5100,12318,10,10,1231.8,10,12318
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,16,5100,12504,10,10,1250.4,10,12504
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,18,5100,12267,10,10,1226.7,10,12267
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,2,5100,6224,10,10,622.4,10,6224
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,4,5100,7039,10,10,703.9,10,7039
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,7,5100,8025,10,10,802.5,10,8025
1-Gre3LevSte-B3,B3,Lev,Ste,Gre,9,5100,8522,10,10,852.2,10,8522
1-Gre9ConSer-B9,B9,Con,Ser,Gre,11,4955,9161,10,9,1017.8888888888889,9,9161
1-Gre9ConSer-B9,B9,Con,Ser,Gre,14,4955,10836,10,9,1204,9,10836
1-Gre9ConSer-B9,B9,Con,Ser,Gre,16,4955,11351,10,8,1418.875,8,11351
1-Gre9ConSer-B9,B9,Con,Ser,Gre,18,4955,11299,10,9,1255.4444444444443,9,11299
1-Gre9ConSer-B9,B9,Con,Ser,Gre,2,4955,5526,10,10,552.6,10,5526
1-Gre9ConSer-B9,B9,Con,Ser,Gre,4,4955,5760,10,10,576,10,5760
1-Gre9ConSer-B9,B9,Con,Ser,Gre,7,4955,7346,10,10,734.6,10,7346
1-Gre9ConSer-B9,B9,Con,Ser,Gre,9,4955,8410,10,9,934.4444444444445,9,8410
1-Ita10LevNon-B10,B10,Lev,Non,Ita,11,5893,10000,11,10,1000,10,10000
1-Ita10LevNon-B10,B10,Lev,Non,Ita,14,5893,12342,11,10,1234.2,10,12342
