Identity,Bloc,Trt,Wound,Strain,group,Time,Mort_Acc,Times
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,0,0,0
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,2,0,2
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,4,1,4
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,7,1,7
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,9,2,9
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,11,2,11
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,14,2,14
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,16,2,16
1-Ita1LevSer-B1,B1,Lev,Ser,Ita,Ita Ser,18,2,18
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,0,0,0
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,2,0,2
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,4,0,4
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,7,0,7
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,9,0,9
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,11,0,11
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,14,0,14
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,16,0,16
2-Can1LevSer-B1,B1,Lev,Ser,Can,Can Ser,18,0,18
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,0,0,0
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,2,0,2
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,4,0,4
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,7,0,7
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,9,0,9
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,11,1,11
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,14,1,14
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,16,1,16
3-Gre1LevSer-B1,B1,Lev,Ser,Gre,Gre Ser,18,1,18
