Identity	Bloc	Trt	Wound	Strain	0	2	4	7	9	11	14	16	18
1-Ita1LevSer-B1	B1	Lev	Ser	Ita	10	10	9	9	8	8	8	8	8
2-Can1LevSer-B1	B1	Lev	Ser	Can	10	10	10	10	10	10	10	10	10
3-Gre1LevSer-B1	B1	Lev	Ser	Gre	10	10	10	10	10	9	9	9	9
4-Can1ConSer-B1	B1	Con	Ser	Can	10	10	10	9	9	8	8	8	8
5-Ita1ConSer-B1	B1	Con	Ser	Ita	10	10	10	7	7	7	7	7	7
6-Gre1ConSer-B1	B1	Con	Ser	Gre	10	9	10	8	7	6	6	6	6
7-Gre1LevNon-B1	B1	Lev	Non	Gre	10	10	10	10	10	10	10	10	10
8-Ita1LevNon-B1	B1	Lev	Non	Ita	10	10	10	10	10	10	10	10	10
9-Can1LevNon-B1	B1	Lev	Non	Can	10	10	10	10	10	10	10	10	10
10-Gre1ConNon-B1	B1	Con	Non	Gre	10	10	10	10	10	10	10	10	10
11-Ita1ConNon-B1	B1	Con	Non	Ita	10	10	10	10	10	10	10	10	10
12-Can1ConNon-B1	B1	Con	Non	Can	10	10	10	10	10	10	10	10	10
13-Gre1BacSte-B1	B1	Bac	Ste	Gre	10	10	10	10	10	10	10	9	9
14-Ita1BacSte-B1	B1	Bac	Ste	Ita	10	10	10	9	9	9	9	9	9
15-Can1BacSte-B1	B1	Bac	Ste	Can	10	10	10	10	10	10	10	10	10
16-Ita1ConSte-B1	B1	Con	Ste	Ita	10	10	10	10	10	10	10	10	10
17-Can1ConSte-B1	B1	Con	Ste	Can	10	10	10	10	10	10	10	10	10
18-Gre1ConSte-B1	B1	Con	Ste	Gre	10	10	10	10	10	10	10	10	10
19-Gre1LevSte-B1	B1	Lev	Ste	Gre	10	10	10	10	10	10	10	10	10
20-Ita1LevSte-B1	B1	Lev	Ste	Ita	10	10	10	9	9	9	9	9	8
21-Can1LevSte-B1	B1	Lev	Ste	Can	10	10	10	10	10	10	10	10	10
22-Can1BacSer-B1	B1	Bac	Ser	Can	10	9	9	9	9	9	9	9	9
23-Gre1BacSer-B1	B1	Bac	Ser	Gre	10	10	10	10	10	10	10	10	10
24-Ita1BacSer-B1	B1	Bac	Ser	Ita	10	9	9	9	9	9	9	9	9
25-Can1BacNon-B1	B1	Bac	Non	Can	10	10	10	10	10	10	10	10	10
26-Gre1BacNon-B1	B1	Bac	Non	Gre	10	10	10	10	10	10	10	10	10
27-Ita1BacNon-B1	B1	Bac	Non	Ita	10	10	10	10	10	10	10	10	10
1-Gre2ConNon-B2	B2	Con	Non	Gre	10	10	10	10	10	10	10	10	10
2-Ita2ConNon-B2	B2	Con	Non	Ita	10	10	10	10	10	10	10	10	10
3-Can2ConNon-B2	B2	Con	Non	Can	10	10	10	10	10	10	10	10	10
4-Ita2LevNon-B2	B2	Lev	Non	Ita	10	10	10	10	10	10	9	9	10
5-Can2LevNon-B2	B2	Lev	Non	Can	10	10	10	10	10	10	10	10	10
6-Gre2LevNon-B2	B2	Lev	Non	Gre	10	10	10	10	10	10	10	10	10
7-Can2BacSte-B2	B2	Bac	Ste	Can	10	10	9	9	9	9	9	9	9
8-Gre2BacSte-B2	B2	Bac	Ste	Gre	10	10	10	10	10	10	9	9	9
9-Ita2BacSte-B2	B2	Bac	Ste	Ita	10	10	10	10	9	9	9	9	9
10-Gre2LevSer-B2	B2	Lev	Ser	Gre	10	10	10	10	9	9	9	9	10
11-Can2LevSer-B2	B2	Lev	Ser	Can	10	9	8	8	8	8	8	8	8
12-Ita2LevSer-B2	B2	Lev	Ser	Ita	10	10	10	10	9	9	9	9	9
13-Gre2LevSte-B2	B2	Lev	Ste	Gre	10	10	10	10	10	10	9	9	9
14-Can2LevSte-B2	B2	Lev	Ste	Can	10	10	10	10	10	10	10	10	10
15-Ita2LevSte-B2	B2	Lev	Ste	Ita	10	10	10	10	10	10	10	10	10
16-Gre2ConSer-B2	B2	Con	Ser	Gre	10	10	9	9	9	9	8	8	8
17-Ita2ConSer-B2	B2	Con	Ser	Ita	10	9	9	9	9	9	8	8	8
18-Can2ConSer-B2	B2	Con	Ser	Can	10	10	9	9	9	9	9	9	9
19-Gre2ConSte-B2	B2	Con	Ste	Gre	10	10	10	10	10	10	10	10	10
20-Ita2ConSte-B2	B2	Con	Ste	Ita	10	10	10	10	10	10	10	9	9
21-Can2ConSte-B2	B2	Con	Ste	Can	10	10	10	10	10	10	10	10	9
22-Gre2BacSer-B2	B2	Bac	Ser	Gre	10	10	10	10	10	10	10	10	10
23-Can2BacSer-B2	B2	Bac	Ser	Can	10	9	8	7	7	7	7	7	7
24-Ita2BacSer-B2	B2	Bac	Ser	Ita	10	10	10	10	10	10	10	10	9
25-Ita2BacNon-B2	B2	Bac	Non	Ita	10	10	10	10	10	10	10	10	10
26-Gre2BacNon-B2	B2	Bac	Non	Gre	10	10	10	10	10	10	10	10	10
27-Can2BacNon-B2	B2	Bac	Non	Can	10	10	10	10	10	10	10	10	10
1-Gre3LevSte-B3	B3	Lev	Ste	Gre	10	10	10	10	10	10	10	10	10
2-Ita3LevSte-B3	B3	Lev	Ste	Ita	10	10	10	10	10	10	10	10	10
3-Can3LevSte-B3	B3	Lev	Ste	Can	10	10	10	10	10	10	10	10	10
4-Can3LevNon-B3	B3	Lev	Non	Can	10	10	10	10	10	10	10	10	10
5-Ita3LevNon-B3	B3	Lev	Non	Ita	10	10	10	10	10	10	10	10	10
6-Gre3LevNon-B3	B3	Lev	Non	Gre	10	10	10	10	10	9	9	9	9
7-Ita3ConSer-B3	B3	Con	Ser	Ita	10	10	10	10	10	10	10	10	10
8-Can3ConSer-B3	B3	Con	Ser	Can	10	10	10	10	10	9	9	9	8
9-Gre3ConSer-B3	B3	Con	Ser	Gre	10	9	9	9	9	9	9	9	9
10-Gre3BacSer-B3	B3	Bac	Ser	Gre	10	10	10	10	10	10	10	10	10
11-Ita3BacSer-B3	B3	Bac	Ser	Ita	10	10	9	9	7	7	7	6	6
12-Can3BacSer-B3	B3	Bac	Ser	Can	10	10	10	10	10	10	10	10	10
13-Ita3ConNon-B3	B3	Con	Non	Ita	10	10	10	10	10	10	10	10	10
14-Gre3ConNon-B3	B3	Con	Non	Gre	10	10	10	10	10	10	10	10	10
15-Can3ConNon-B3	B3	Con	Non	Can	10	10	10	10	10	10	10	10	10
16-Ita3BacNon-B3	B3	Bac	Non	Ita	10	10	10	10	10	10	10	10	10
17-Can3BacNon-B3	B3	Bac	Non	Can	10	10	10	10	10	10	10	10	10
18-Gre3BacNon-B3	B3	Bac	Non	Gre	10	10	10	10	10	10	10	10	10
19-Can3ConSte-B3	B3	Con	Ste	Can	10	10	10	10	10	9	10	10	10
20-Gre3ConSte-B3	B3	Con	Ste	Gre	10	9	9	9	9	9	9	9	9
21-Ita3ConSte-B3	B3	Con	Ste	Ita	10	10	10	10	10	10	9	9	9
22-Gre3LevSer-B3	B3	Lev	Ser	Gre	10	10	10	10	10	10	9	9	9
23-Ita3LevSer-B3	B3	Lev	Ser	Ita	10	10	10	10	10	10	10	10	10
24-Can3LevSer-B3	B3	Lev	Ser	Can	10	10	9	9	9	8	8	8	8
25-Ita3BacSte-B3	B3	Bac	Ste	Ita	10	10	10	10	10	10	10	10	10
26-Gre3BacSte-B3	B3	Bac	Ste	Gre	10	10	10	10	10	10	10	10	9
27-Can3BacSte-B3	B3	Bac	Ste	Can	10	10	10	10	10	10	10	10	10
