Identity	Bloc	Trt	Wound	Strain	Initial_Mass	Initial_Number	2	4	7	9	11	14	16	18	2	4	7	9	11	14	16	18
1-Ita1LevSer-B1	B1	Lev	Ser	Ita	7393	10	6995	6753	7295	8151	8370	7141	6101	4920	10	9	9	8	8	7	6	5
2-Can1LevSer-B1	B1	Lev	Ser	Can	5340	10	6423	7023	7289	7692	8322	9776	10120	10238	10	10	10	10	10	10	10	10
3-Gre1LevSer-B1	B1	Lev	Ser	Gre	6762	10	7124	7823	8662	9115	9752	10546	7798	7858	10	10	10	10	9	9	7	7
4-Can1ConSer-B1	B1	Con	Ser	Can	4854	10	4975	5504	5322	6331	6675	7091	6969	6780	10	10	9	9	8	8	8	8
5-Ita1ConSer-B1	B1	Con	Ser	Ita	5674	10	6401	6968	5764	6380	6686	7934	7948	7948	10	10	7	7	7	7	7	7
6-Gre1ConSer-B1	B1	Con	Ser	Gre	5352	10	6007	6465	6474	5939	5979	7979	7962	7942	9	10	8	7	6	6	6	6
7-Gre1LevNon-B1	B1	Lev	Non	Gre	6451	11	7558	8499	9617	10655	12192	14736	14707	13036	10	10	10	10	10	10	10	9
8-Ita1LevNon-B1	B1	Lev	Non	Ita	6037	10	7224	8131	8303	10460	11713	11124	11325	10204	10	10	10	10	10	9	9	8
9-Can1LevNon-B1	B1	Lev	Non	Can	5596	10	6239	7469	8263	8848	10113	12586	12318	10781	10	10	10	10	10	10	10	9
10-Gre1ConNon-B1	B1	Con	Non	Gre	5136	10	6415	7694	8223	9609	10672	12920	13303	13553	10	10	10	10	10	10	10	10
11-Ita1ConNon-B1	B1	Con	Non	Ita	5374	10	5942	6241	7325	8360	9562	12374	12218	10707	10	10	10	10	10	10	10	9
12-Can1ConNon-B1	B1	Con	Non	Can	5328	10	6261	7616	8170	9236	9956	11201	11883	11368	10	10	10	10	10	10	10	9
13-Gre1BacSte-B1	B1	Bac	Ste	Gre	6100	10	7352	8365	9525	10397	11449	12865	11622	11777	10	10	10	10	10	10	8	8
14-Ita1BacSte-B1	B1	Bac	Ste	Ita	5999	10	6865	7887	7789	8451	9158	11049	10251	10231	10	10	9	9	9	9	8	8
15-Can1BacSte-B1	B1	Bac	Ste	Can	4753	10	5995	7266	7259	7932	9041	11465	11699	11587	10	10	10	10	10	10	10	10
16-Ita1ConSte-B1	B1	Con	Ste	Ita	5776	10	6437	7666	9277	9648	10235	12543	11257	11029	10	10	10	10	10	10	9	9
17-Can1ConSte-B1	B1	Con	Ste	Can	5395	10	6139	7363	8480	8862	9261	12063	12376	11835	10	10	10	10	10	10	10	10
18-Gre1ConSte-B1	B1	Con	Ste	Gre	5220	10	6306	7534	8174	9028	9859	12875	13420	13405	10	10	10	10	10	10	10	10
19-Gre1LevSte-B1	B1	Lev	Ste	Gre	6381	10	7622	8646	10109	10176	11198	13696	12597	12474	10	10	10	10	10	10	9	9
20-Ita1LevSte-B1	B1	Lev	Ste	Ita	5539	10	6794	7616	7765	7785	8514	9420	9445	8071	10	10	9	9	9	8	8	7
21-Can1LevSte-B1	B1	Lev	Ste	Can	5440	10	6232	7112	7469	8689	9084	11026	11250	11268	10	10	10	10	10	10	10	10
22-Can1BacSer-B1	B1	Bac	Ser	Can	4963	10	5369	5836	6474	7461	7890	8847	7680	7581	9	9	9	9	9	9	8	8
23-Gre1BacSer-B1	B1	Bac	Ser	Gre	5478	10	6065	6723	7327	8060	8899	10559	10666	10558	10	10	10	10	10	10	10	10
24-Ita1BacSer-B1	B1	Bac	Ser	Ita	5221	10	5581	5997	5865	7571	8414	9449	9867	10074	9	9	9	9	9	9	9	9
25-Can1BacNon-B1	B1	Bac	Non	Can	4864	10	5817	7564	8219	8985	9586	10706	10639	10894	10	10	10	10	10	9	9	9
26-Gre1BacNon-B1	B1	Bac	Non	Gre	6545	10	7991	8899	10644	11465	12339	14223	12823	11469	10	10	10	10	10	10	9	8
27-Ita1BacNon-B1	B1	Bac	Non	Ita	5149	10	5851	7559	8667	9166	9851	12920	13178	13015	10	10	10	10	10	10	10	10
1-Gre2ConNon-B2	B2	Con	Non	Gre	4374	10	5664	7205	7690	8717	10911	12510	12801	12985	10	10	10	10	10	10	10	10
2-Ita2ConNon-B2	B2	Con	Non	Ita	5504	10	6507	7628	8897	9720	11854	11971	12090	12058	10	10	10	10	10	9	9	9
3-Can2ConNon-B2	B2	Con	Non	Can	4774	10	5826	6896	7533	8455	9904	11171	10109	10254	10	10	10	10	10	10	9	9
4-Ita2LevNon-B2	B2	Lev	Non	Ita	6305	10	7922	9039	9249	10702	12042	12254	12407	12292	10	10	10	10	10	9	9	10
5-Can2LevNon-B2	B2	Lev	Non	Can	5291	9	7067	8070	8873	9901	11238	12450	12569	12357	10	10	10	10	10	10	10	10
6-Gre2LevNon-B2	B2	Lev	Non	Gre	6983	10	7416	8752	10284	11410	13432	13697	11558	10594	10	10	10	10	10	10	8	7
7-Can2BacSte-B2	B2	Bac	Ste	Can	4380	10	4983	5385	5732	6840	8402	9321	9792	10223	10	9	9	9	9	9	9	9
8-Gre2BacSte-B2	B2	Bac	Ste	Gre	6455	10	7205	7742	8354	9454	9730	9581	9785	9521	10	10	10	10	10	9	9	9
9-Ita2BacSte-B2	B2	Bac	Ste	Ita	7378	10	7604	8518	8557	9599	10705	11424	11765	10665	10	10	10	9	9	9	9	8
10-Gre2LevSer-B2	B2	Lev	Ser	Gre	6582	9	7500	7847	8342	8062	8889	10087	10681	10219	10	10	10	9	9	9	9	10
11-Can2LevSer-B2	B2	Lev	Ser	Can	5956	10	6091	6542	7226	7897	8670	9355	8439	8317	9	8	8	8	8	8	7	7
12-Ita2LevSer-B2	B2	Lev	Ser	Ita	7033	10	7589	8549	9106	8735	9815	10942	9199	8929	10	10	10	9	9	9	8	8
13-Gre2LevSte-B2	B2	Lev	Ste	Gre	5975	10	7117	8287	8349	9366	10786	12148	12164	11870	10	10	10	10	10	9	9	9
14-Can2LevSte-B2	B2	Lev	Ste	Can	4264	10	4970	5853	6565	7372	8442	10024	10210	9964	10	10	10	10	10	10	10	10
15-Ita2LevSte-B2	B2	Lev	Ste	Ita	6899	10	8205	8860	9138	9651	11984	13122	12945	12543	10	10	10	10	10	10	10	10
16-Gre2ConSer-B2	B2	Con	Ser	Gre	5234	10	6010	6338	6359	7168	8177	8156	8001	7974	10	9	9	9	9	8	8	8
17-Ita2ConSer-B2	B2	Con	Ser	Ita	5945	10	6165	7099	7372	8446	9584	10146	10025	8599	9	9	9	9	9	8	8	7
18-Can2ConSer-B2	B2	Con	Ser	Can	5079	10	5395	5436	5751	7653	8324	9117	9578	9812	10	9	9	9	9	9	9	9
19-Gre2ConSte-B2	B2	Con	Ste	Gre	5205	10	6103	6822	7186	8699	10317	12112	12760	12792	10	10	10	10	10	10	10	10
20-Ita2ConSte-B2	B2	Con	Ste	Ita	6085	10	6503	7833	9144	9080	11344	12569	13431	13092	10	10	10	10	10	10	9	9
21-Can2ConSte-B2	B2	Con	Ste	Can	4757	10	5105	5774	7398	7508	9668	10456	11235	11109	10	10	10	10	10	10	10	9
22-Gre2BacSer-B2	B2	Bac	Ser	Gre	5949	10	7118	8236	8186	9081	10326	11690	12010	11994	10	10	10	10	10	10	10	10
23-Can2BacSer-B2	B2	Bac	Ser	Can	4731	10	4953	5017	4388	5425	5969	6294	6324	6373	9	8	7	7	7	7	7	7
24-Ita2BacSer-B2	B2	Bac	Ser	Ita	5436	10	5914	6664	7138	8476	9474	10106	9800	9427	10	10	10	10	10	10	10	9
25-Ita2BacNon-B2	B2	Bac	Non	Ita	4981	10	5431	6305	7482	9007	9621	11553	12332	12756	10	10	10	10	10	10	10	10
26-Gre2BacNon-B2	B2	Bac	Non	Gre	5945	10	7967	9196	9417	10203	12168	13747	13756	13683	10	10	10	10	10	10	10	10
27-Can2BacNon-B2	B2	Bac	Non	Can	4402	10	5846	6868	7078	7938	9705	11205	11094	11190	10	10	10	10	10	10	10	10
1-Gre3LevSte-B3	B3	Lev	Ste	Gre	5100	10	6224	7039	8025	8522	9441	12318	12504	12267	10	10	10	10	10	10	10	10
2-Ita3LevSte-B3	B3	Lev	Ste	Ita	5882	10	7288	8323	9017	10179	11315	13462	13559	13276	10	10	10	10	10	10	10	10
3-Can3LevSte-B3	B3	Lev	Ste	Can	4549	10	5541	6275	6656	8543	9083	10257	10563	10312	10	10	10	10	10	10	10	10
4-Can3LevNon-B3	B3	Lev	Non	Can	5136	10	6521	7334	8081	8969	9985	11420	11394	11155	10	10	10	10	10	9	9	9
5-Ita3LevNon-B3	B3	Lev	Non	Ita	6691	10	7449	7975	9166	10456	11065	10946	11768	10389	10	10	10	10	10	9	9	8
6-Gre3LevNon-B3	B3	Lev	Non	Gre	6624	10	7825	8796	9472	10260	10980	11577	10639	10429	10	10	10	10	9	8	7	7
7-Ita3ConSer-B3	B3	Con	Ser	Ita	5788	10	5958	6685	7263	7857	8311	9579	10519	10439	10	10	10	10	10	10	10	10
8-Can3ConSer-B3	B3	Con	Ser	Can	4874	10	5576	6020	6009	7576	8165	8339	8719	8733	10	10	10	10	9	9	9	8
9-Gre3ConSer-B3	B3	Con	Ser	Gre	5771	10	5661	6199	6156	6824	7991	8855	8679	8586	9	9	9	9	9	9	9	9
10-Gre3BacSer-B3	B3	Bac	Ser	Gre	6412	10	7072	7244	7858	9333	10162	11114	12069	12216	10	10	10	10	10	10	10	10
11-Ita3BacSer-B3	B3	Bac	Ser	Ita	4595	10	4240	4789	4705	4799	5646	6340	6017	6170	10	9	9	7	7	7	6	6
12-Can3BacSer-B3	B3	Bac	Ser	Can	4748	10	5583	5874	6740	7430	7801	9918	10609	9161	10	10	10	10	10	10	10	9
13-Ita3ConNon-B3	B3	Con	Non	Ita	7356	10	8313	9506	10201	11953	12713	14691	13428	8903	10	10	10	10	10	10	9	6
14-Gre3ConNon-B3	B3	Con	Non	Gre	4677	10	6720	7125	7837	9363	10123	12071	13384	13587	10	10	10	10	10	10	10	10
15-Can3ConNon-B3	B3	Con	Non	Can	4179	10	5139	5855	6703	8021	8854	10695	11569	11595	10	10	10	10	10	10	10	10
16-Ita3BacNon-B3	B3	Bac	Non	Ita	5241	10	6421	7415	7841	9352	10793	11635	12983	12439	10	10	10	10	10	10	10	10
17-Can3BacNon-B3	B3	Bac	Non	Can	4775	10	5645	6137	6831	9150	9585	10483	11808	11834	10	10	10	10	10	10	10	10
18-Gre3BacNon-B3	B3	Bac	Non	Gre	6300	10	7660	9685	10109	11093	12368	13518	11664	11727	10	10	10	10	10	10	8	8
19-Can3ConSte-B3	B3	Con	Ste	Can	4648	10	5007	5579	6029	6613	8040	9763	9974	9839	10	10	10	10	10	10	10	10
20-Gre3ConSte-B3	B3	Con	Ste	Gre	5436	10	6151	6603	6967	8139	9078	10380	10706	10919	9	9	9	9	9	9	9	9
21-Ita3ConSte-B3	B3	Con	Ste	Ita	5997	10	6645	7626	8423	9952	10109	11211	11924	10199	10	10	10	10	9	9	9	8
22-Gre3LevSer-B3	B3	Lev	Ser	Gre	5659	10	6246	6736	6989	7739	8360	8010	8592	8437	10	10	10	10	10	9	9	9
23-Ita3LevSer-B3	B3	Lev	Ser	Ita	6345	10	6811	7566	8067	8623	9630	11362	10363	10080	10	10	10	10	10	10	9	9
24-Can3LevSer-B3	B3	Lev	Ser	Can	5515	10	5946	6048	6230	6902	7706	9504	9665	9398	10	9	9	9	8	8	8	8
25-Ita3BacSte-B3	B3	Bac	Ste	Ita	6006	10	6140	7435	8763	9801	11366	13654	13955	13870	10	10	10	10	10	10	10	10
26-Gre3BacSte-B3	B3	Bac	Ste	Gre	6039	10	7076	8038	8665	9537	10628	12777	12842	12554	10	10	10	10	10	10	10	9
27-Can3BacSte-B3	B3	Bac	Ste	Can	4639	10	5497	6218	6804	7368	8719	10905	11027	10782	10	10	10	10	10	10	10	10
1-Can4ConSer-B4	B4	Con	Ser	Can	4572	10	4718	4435	5330	5096	5116	6893	6921	6867	10	9	9	9	9	9	8	8
2-Ita4ConSer-B4	B4	Con	Ser	Ita	6070	10	6065	6181	6969	6659	6779	8656	6941	6591	10	10	8	8	8	8	6	5
3-Gre4ConSer-B4	B4	Con	Ser	Gre	5185	10	5871	6427	6949	8345	8997	9173	10532	10571	10	10	10	10	10	10	10	9
4-Gre4BacNon-B4	B4	Bac	Non	Gre	5792	10	6588	7805	8269	10365	11164	12204	11816	11907	10	10	10	10	10	10	9	9
5-Can4BacNon-B4	B4	Bac	Non	Can	4300	10	4684	6029	7161	7538	8406	10898	11601	11444	10	10	10	10	10	10	10	10
6-Ita4BacNon-B4	B4	Bac	Non	Ita	5822	10	6774	8118	9358	9742	9997	11885	12219	11947	10	10	10	10	9	9	9	9
7-Ita4BacSte-B4	B4	Bac	Ste	Ita	4612	10	4400	5428	6428	6256	6937	9072	9560	9452	10	10	10	9	9	9	9	9
8-Can4BacSte-B4	B4	Bac	Ste	Can	4958	10	6160	7318	6812	8106	8719	9628	9872	10217	10	10	9	9	9	9	9	9
9-Gre4BacSte-B4	B4	Bac	Ste	Gre	4315	10	6737	7792	8748	9116	10382	12344	12821	12439	10	10	10	10	10	10	10	9
10-Can4LevSte-B4	B4	Lev	Ste	Can	5653	10	6179	7180	7672	8885	9599	11462	11724	11681	10	10	10	10	10	10	10	10
11-Gre4LevSte-B4	B4	Lev	Ste	Gre	5970	10	7203	7785	7713	8624	9602	11432	11433	11156	10	10	10	10	10	10	10	10
12-Ita4LevSte-B4	B4	Lev	Ste	Ita	5998	10	7533	8438	9025	9940	10547	12419	11138	10800	10	10	10	10	10	10	9	9
13-Can4ConSte-B4	B4	Con	Ste	Can	4718	10	5815	6933	7976	8226	8975	11368	11654	11125	10	10	10	10	10	10	10	10
14-Gre4ConSte-B4	B4	Con	Ste	Gre	4980	10	4971	5482	6408	7356	7754	8955	9790	9952	10	9	9	9	9	9	9	9
15-Ita4ConSte-B4	B4	Con	Ste	Ita	5093	10	5446	6292	7421	9007	9667	12015	12491	12846	10	10	10	10	10	10	10	10
16-Ita4LevSer-B4	B4	Lev	Ser	Ita	6979	10	6700	7157	7671	8436	8584	10845	10641	10298	10	10	10	9	9	9	9	8
