NomTrt	M2M1	M3M2	M4M3	M5M4	M6M5	M7M6	M8M7	M9M8	M10M9	M11M10	M12M11	M13M12	M14M13
Inv2B1	21	28	40	-8	5	31	33	-9	49	22	65	19	-4
EspC1	57	29	14	7	19	22	35	-1	55	25	29	-3	42
Inv1C1	38	14	17	13	8	23	94	16	-15	43	27	5	1
Ita1C	10	31	-23	29	19	18	-1	10	49	74	31	20	15
WorB1	21	20	58	7	13	0	22	50	-21	29	25	0	97
TurB1	15	15	34	11	-9	7	45	20	84	-3	10	109	9
EspB1	61	59	12	-7	31	20	17	20	32	47	-2	69	35
FraC1	27	21	44	-3	12	1	30	-2	72	21	7	86	-25
TurC1	58	17	26	30	20	-7	22	16	51	53	57	34	-16
WorC1	30	16	30	-1	20	10	10	52	13	-23	55	21	-4
GreC1	51	-16	53	3	10	17	50	7	54	49	21	15	19
Inv2C1	39	23	30	14	14	31	4	15	22	58	47	42	16
Inv1B1	31	38	19	13	-7	11	26	19	69	50	41	12	25
FraB1	31	16	29	-5	19	0	12	29	14	26	37	38	12
AllB1	54	22	41	3	24	21	2	19	-4	61	12	55	15
GreB1	14	30	17	14	4	9	34	21	93	9	28	24	13
Ita1B1	17	15	42	-5	8	7	28	42	-43	76	23	62	10
Ita2B1	23	14	6	18	1	57	-57	29	98	58	59	-1	-3
Ita2C1	85	28	31	49	25	-15	53	-5	125	84	51	37	9
AllC1	81	23	60	7	-18	72	6	12	55	31	39	39	6
TurC2	79	30	14	37	8	11	4	42	66	25	59	36	64
Inv2B2	-9	24	10	24	12	29	31	30	42	11	68	16	10
Ita2B2	40	52	12	29	13	25	-3	18	49	-38	118	47	20
AllB2	125	28	15	22	43	11	0	4	4	37	27	34	41
AllC2	111	24	11	43	5	9	36	-2	47	62	28	46	13
TurB2	32	30	29	34	13	5	42	-21	65	-6	82	88	8
GreB2	41	14	18	38	1	-8	28	41	62	16	36	24	30
Ita1C2	71	-1	16	27	16	-12	18	42	52	11	27	42	25
FraB2	24	36	-7	28	-4	23	-5	19	18	-3	67	58	38
EspB2	26	-2	22	6	5	-13	41	24	28	24	11	15	1
FraC2	89	18	11	21	-4	18	31	12	91	24	46	-2	30
Inv2C2	46	27	15	14	11	-10	77	58	67	51	-14	23	33
Inv1C2	33	19	15	7	13	20	28	19	27	43	32	49	-14
GreC2	36	46	22	14	-6	-291	317	38	78	52	51	15	-9
EspC2	13	39	13	28	-8	9	30	2	74	54	67	-10	47
WorC2	9	43	4	26	5	21	4	14	5	26	81	-33	10
WorB2	16	-2	2	10	2	42	-1	48	-10	160	-111	-22	21
Ita2C2	47	23	39	57	-10	13	5	36	55	24	48	57	5
Ita1B2	30	26	8	21	1	20	16	22	38	41	78	50	-20
Inv1B2	40	26	14	34	8	30	20	10	54	29	48	110	-17
Inv2B3	105	-73	11	28	12	9	26	0	60	69	14	20	-23
EspB3	69	-20	2	15	8	-1	25	65	88	15	-29	10	-8
Inv1C3	171	-105	38	-9	13	-6	73	48	42	28	24	-14	22
AllB3	-95	176	25	20	7	35	32	3	-7	21	20	43	-18
Inv1B3	50	19	22	-10	25	-8	23	-5	10	58	26	3	28
GreC3	61	47	48	-1	-6	0	99	46	76	47	33	14	10
Ita1C3	45	54	31	7	9	16	-11	66	69	0	34	36	-19
WorC3	3	72	-17	52	11	6	31	42	38	24	28	12	63
EspC3	216	-156	10	29	23	-16	43	46	37	41	17	6	17
AllC3	-33	129	36	19	9	-9	21	-1	51	42	57	17	16
WorB3	14	13	48	21	23	9	4	41	12	50	58	64	31
Inv2C3	29	21	14	30	3	11	11	60	17	-23	41	15	15
FraB3	35	8	49	-7	-6	24	15	106	-26	-9	46	22	-4
Ita2B3	33	3	42	8	21	10	-11	-2	83	23	54	71	20
Ita1B3	15	27	11	-4	8	21	9	55	-20	24	13	49	-15
GreB3	26	29	24	9	12	37	24	52	22	26	70	16	36
TurC3	53	46	10	9	32	28	-12	49	71	39	52	-17	13
TurB3	16	-30	69	7	36	3	-5	20	153	-98	60	47	1
FraC3	29	27	19	28	13	20	7	21	25	24	36	15	55
Ita2C3	70	-11	59	1	MV	MV	27	69	45	45	5	40	13
Inv1B4	42	13	48	13	-3	32	40	18	31	77	23	35	46
TurC4	67	-8	48	13	14	76	-7	3	42	-22	76	62	-333
Inv2B4	37	14	35	-6	-9	16	57	23	45	16	24	-10	40
Ita1B4	31	20	36	5	-2	37	48	56	1	11	75	43	45
GreB4	29	10	10	2	17	34	17	28	41	6	37	-6	74
Ita2C4	44	6	58	-9	10	-10	51	18	71	33	38	31	48
EspB4	23	12	47	27	5	12	53	7	43	2	92	42	20
Ita1C4	151	-11	23	14	23	2	6	37	40	65	24	32	38
Ita2B4	52	20	50	-7	11	-4	47	9	70	8	1	20	52
FraB4	1	-10	35	2	16	-6	14	30	33	32	51	12	-21
FraC4	47	10	20	39	13	23	4	30	53	2	33	54	26
