Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Grèce	GrePBact	1	P	Bact	4384	8422	12030	13571	11012	NA	NA	NA	NA	NA	NA	NA
Canada	CanPBact	1	P	Bact	3879	6232	8412	8980	10124	10033	5131	1750	1718	NA	NA	NA
Italie	ItaPBact	1	P	Bact	3731	6765	9243	10840	10440	6991	3444	NA	NA	NA	NA	NA
Canada	CanCBact	1	C	Bact	3787	6824	9347	11288	12208	4131	2918	1483	1497	NA	NA	NA
Italie	ItaCBact	1	C	Bact	3642	7194	9837	10291	9885	2678	NA	NA	NA	NA	NA	NA
Grèce	GreCBact	1	C	Bact	4281	7565	9556	12283	10944	5361	2617	2757	1880	1401	1326	NA
Italie	ItaDSte	1	D	Ste	4055	7626	11543	11296	8024	4464	NA	NA	NA	NA	NA	NA
Canada	CanDSte	1	D	Ste	4088	7060	9207	8904	7722	7552	6350	3270	1962	2070	1887	1997
Grèce	GreDSte	1	D	Ste	3654	7457	9617	11310	7433	6223	1646	NA	NA	NA	NA	NA
Grèce	GreESte	1	E	Ste	3377	5178	7022	8459	10802	7950	5676	3120	1047	1000	1115	1172
Italie	ItaESte	1	E	Ste	3807	5214	7844	8742	8750	7009	4954	2272	977	1004	993	1143
Canada	CanESte	1	E	Ste	3906	5717	7441	8742	9822	9913	8747	3901	1375	1351	NA	NA
Italie	ItaPSte	1	P	Ste	4323	8002	10080	9261	5228	4514	4796	1949	1932	2071	NA	NA
Canada	CanPSte	1	P	Ste	4358	7423	10045	11775	10898	8968	4364	NA	NA	NA	NA	NA
Grèce	GrePSte	1	P	Ste	3692	7388	9689	11256	10861	9963	1835	NA	NA	NA	NA	NA
Canada	CanCSte	1	C	Ste	3244	6212	7830	9318	11342	7251	5958	1801	1735	1973	2013	1929
Italie	ItaCSte	1	C	Ste	4070	7841	10556	10153	9220	6781	NA	NA	NA	NA	NA	NA
Grèce	GreCSte	1	C	Ste	3362	6998	9704	11772	10449	7483	1383	NA	NA	NA	NA	NA
Grèce	GreEBact	1	E	Bact	4196	6146	7355	8373	8097	6612	6296	6277	3649	3714	3759	3961
Canada	CanEBact	1	E	Bact	4213	6193	6971	8285	11114	11018	7651	4776	930	869	NA	NA
Italie	ItaEBact	1	E	Bact	4031	6025	8128	9053	9800	5342	6207	6243	2214	981	1086	1098
Italie	ItaDBact	1	D	Bact	4889	9183	11108	8541	3885	2966	1837	1777	NA	NA	NA	NA
Grèce	GreDBact	1	D	Bact	3338	6821	9026	11779	12014	4881	1170	NA	NA	NA	NA	NA
Canada	CanDBact	1	D	Bact	4387	7956	9817	10056	10057	3129	NA	NA	NA	NA	NA	NA
Grèce	GreCBact	2	C	Bact	3029	6727	10025	10953	10855	8834	4426	1261	NA	NA	NA	NA
