Souche	Rep	Bloc	Traitement 	Piq	6	7	8	9	10	11	12	13	14	15	16	17
Grèce	GrePBact	1	P	Bact	10	10	10	10	7	0	0	0	0	0	0	0
Canada	CanPBact	1	P	Bact	10	9	9	8	7	6	3	1	1	0	0	0
Italie	ItaPBact	1	P	Bact	10	10	10	9	7	4	2	0	0	0	0	0
Canada	CanCBact	1	C	Bact	10	10	10	10	9	3	2	1	1	0	0	0
Italie	ItaCBact	1	C	Bact	10	10	10	9	7	2	0	0	0	0	0	0
Grèce	GreCBact	1	C	Bact	10	10	10	10	8	4	2	2	1	1	1	0
Italie	ItaDSte	1	D	Ste	10	10	10	9	5	3	0	0	0	0	0	0
Canada	CanDSte	1	D	Ste	10	10	10	8	6	5	4	2	1	1	1	1
Grèce	GreDSte	1	D	Ste	10	10	10	9	5	4	1	0	0	0	0	0
Grèce	GreESte	1	E	Ste	10	10	10	10	10	7	5	3	1	1	1	1
Italie	ItaESte	1	E	Ste	10	10	10	10	8	6	4	2	1	1	1	1
Canada	CanESte	1	E	Ste	10	10	10	10	9	8	7	3	1	1	0	0
Italie	ItaPSte	1	P	Ste	10	10	10	8	4	3	3	1	1	1	0	0
Canada	CanPSte	1	P	Ste	10	10	10	10	8	6	3	0	0	0	0	0
Grèce	GrePSte	1	P	Ste	10	10	10	9	7	6	1	0	0	0	0	0
Canada	CanCSte	1	C	Ste	10	10	10	9	9	5	4	1	1	1	1	1
Italie	ItaCSte	1	C	Ste	10	10	10	8	6	4	0	0	0	0	0	0
Grèce	GreCSte	1	C	Ste	10	10	10	10	7	5	1	0	0	0	0	0
Grèce	GreEBact	1	E	Bact	10	10	10	10	8	6	5	5	3	3	3	3
Canada	CanEBact	1	E	Bact	10	10	10	10	10	9	6	4	1	1	0	0
Italie	ItaEBact	1	E	Bact	10	10	10	10	9	8	5	5	2	1	1	1
Italie	ItaDBact	1	D	Bact	10	10	10	7	3	2	1	1	0	0	0	0
Grèce	GreDBact	1	D	Bact	10	10	10	10	8	3	1	0	0	0	0	0
Canada	CanDBact	1	D	Bact	10	10	10	8	7	2	0	0	0	0	0	0
Grèce	GreCBact	2	C	Bact	10	10	10	10	8	6	3	1	0	0	0	0
Canada	CanCBact	2	C	Bact	10	10	10	10	10	4	1	0	0	0	0	0
Italie	ItaCBact	2	C	Bact	10	10	10	8	5	1	0	0	0	0	0	0
Grèce	GreCSte	2	C	Ste	10	10	10	10	6	3	2	1	1	0	0	0
Italie	ItaCSte	2	C	Ste	10	10	10	9	6	3	1	0	0	0	0	0
Canada	CanCSte	2	C	Ste	10	10	10	10	8	6	2	2	1	1	1	0
Italie	ItaESte	2	E	Ste	10	10	10	10	10	10	6	3	3	2	0	2
Grèce	GreESte	2	E	Ste	10	10	10	10	9	9	6	6	2	0	0	0
Canada	CanESte	2	E	Ste	10	10	10	10	9	7	5	5	2	1	0	1
Italie	ItaPSte	2	P	Ste	10	10	10	9	3	1	1	0	0	0	0	0
Grèce	GrePSte	2	P	Ste	10	10	10	10	8	2	0	0	0	0	0	0
Canada	CanPSte	2	P	Ste	10	10	10	9	8	4	2	0	0	0	0	0
Grèce	GreEBact	2	E	Bact	10	10	10	10	8	8	3	2	1	1	0	1
Canada	CanEBact	2	E	Bact	10	10	10	10	10	9	6	5	3	2	1	1
Italie	ItaEBact	2	E	Bact	10	10	10	10	8	7	5	1	1	1	0	1
Italie	ItaDBact	2	D	Bact	10	10	10	7	4	1	0	0	0	0	0	0
Canada	CanDBact	2	D	Bact	10	10	10	10	10	6	3	1	1	0	0	0
Grèce	GreDBact	2	D	Bact	10	10	10	10	7	1	0	0	0	0	0	0
Canada	CanPBact	2	P	Bact	10	10	10	10	8	3	1	0	0	0	0	0
Grèce	GrePBact	2	P	Bact	10	10	10	9	8	3	1	0	0	0	0	0
Italie	ItaPBact	2	P	Bact	10	10	10	8	6	3	1	0	0	0	0	0
Grèce	GreDSte	2	D	Ste	10	10	10	8	5	2	1	0	0	0	0	0
Canada	CanDSte	2	D	Ste	10	10	10	10	7	4	2	1	1	1	0	1
Italie	ItaDSte	2	D	Ste	10	10	10	8	5	2	0	0	0	0	0	0
Grèce	GreDBact	3	D	Bact	10	10	10	8	5	3	1	0	0	0	0	0
Canada	CanDBact	3	D	Bact	10	9	9	6	5	2	0	0	0	0	0	0
Italie	ItaDBact	3	D	Bact	10	10	10	7	4	1	0	0	0	0	0	0
