Colonie	Nombre	Incubateur	Bloc	Traitement	Piqure	code_names	randomized_vector
Canada	10	Aléatoire	B1	Bactocell	Non	Can1BacNon	1
Grèce	10	Aléatoire	B1	Bactocell	Non	Gre1BacNon	2
Italie	10	Aléatoire	B1	Bactocell	Non	Ita1BacNon	3
Canada	10	Aléatoire	B1	Contrôle	Non	Can1ConNon	4
Grèce	10	Aléatoire	B1	Contrôle	Non	Gre1ConNon	5
Italie	10	Aléatoire	B1	Contrôle	Non	Ita1ConNon	6
Canada	10	Aléatoire	B1	Levucell	Non	Can1LevNon	7
Grèce	10	Aléatoire	B1	Levucell	Non	Gre1LevNon	8
Italie	10	Aléatoire	B1	Levucell	Non	Ita1LevNon	9
Canada	10	Aléatoire	B1	Bactocell	Serratia	Can1BacSer	10
Grèce	10	Aléatoire	B1	Bactocell	Serratia	Gre1BacSer	11
Italie	10	Aléatoire	B1	Bactocell	Serratia	Ita1BacSer	12
Canada	10	Aléatoire	B1	Contrôle	Serratia	Can1ConSer	13
Grèce	10	Aléatoire	B1	Contrôle	Serratia	Gre1ConSer	14
Italie	10	Aléatoire	B1	Contrôle	Serratia	Ita1ConSer	15
Canada	10	Aléatoire	B1	Levucell	Serratia	Can1LevSer	16
Grèce	10	Aléatoire	B1	Levucell	Serratia	Gre1LevSer	17
Italie	10	Aléatoire	B1	Levucell	Serratia	Ita1LevSer	18
Canada	10	Aléatoire	B1	Bactocell	Stérile	Can1BacSte	19
Grèce	10	Aléatoire	B1	Bactocell	Stérile	Gre1BacSte	20
Italie	10	Aléatoire	B1	Bactocell	Stérile	Ita1BacSte	21
Canada	10	Aléatoire	B1	Contrôle	Stérile	Can1ConSte	22
Grèce	10	Aléatoire	B1	Contrôle	Stérile	Gre1ConSte	23
Italie	10	Aléatoire	B1	Contrôle	Stérile	Ita1ConSte	24
Canada	10	Aléatoire	B1	Levucell	Stérile	Can1LevSte	25
Grèce	10	Aléatoire	B1	Levucell	Stérile	Gre1LevSte	26
Italie	10	Aléatoire	B1	Levucell	Stérile	Ita1LevSte	27
Canada	10	Aléatoire	B2	Bactocell	Non	Can2BacNon	1
Grèce	10	Aléatoire	B2	Bactocell	Non	Gre2BacNon	2
Italie	10	Aléatoire	B2	Bactocell	Non	Ita2BacNon	3
Canada	10	Aléatoire	B2	Contrôle	Non	Can2ConNon	4
Grèce	10	Aléatoire	B2	Contrôle	Non	Gre2ConNon	5
Italie	10	Aléatoire	B2	Contrôle	Non	Ita2ConNon	6
Canada	10	Aléatoire	B2	Levucell	Non	Can2LevNon	7
Grèce	10	Aléatoire	B2	Levucell	Non	Gre2LevNon	8
Italie	10	Aléatoire	B2	Levucell	Non	Ita2LevNon	9
Canada	10	Aléatoire	B2	Bactocell	Serratia	Can2BacSer	10
Grèce	10	Aléatoire	B2	Bactocell	Serratia	Gre2BacSer	11
Italie	10	Aléatoire	B2	Bactocell	Serratia	Ita2BacSer	12
Canada	10	Aléatoire	B2	Contrôle	Serratia	Can2ConSer	13
Grèce	10	Aléatoire	B2	Contrôle	Serratia	Gre2ConSer	14
Italie	10	Aléatoire	B2	Contrôle	Serratia	Ita2ConSer	15
Canada	10	Aléatoire	B2	Levucell	Serratia	Can2LevSer	16
Grèce	10	Aléatoire	B2	Levucell	Serratia	Gre2LevSer	17
Italie	10	Aléatoire	B2	Levucell	Serratia	Ita2LevSer	18
Canada	10	Aléatoire	B2	Bactocell	Stérile	Can2BacSte	19
Grèce	10	Aléatoire	B2	Bactocell	Stérile	Gre2BacSte	20
Italie	10	Aléatoire	B2	Bactocell	Stérile	Ita2BacSte	21
Canada	10	Aléatoire	B2	Contrôle	Stérile	Can2ConSte	22
Grèce	10	Aléatoire	B2	Contrôle	Stérile	Gre2ConSte	23
Italie	10	Aléatoire	B2	Contrôle	Stérile	Ita2ConSte	24
Canada	10	Aléatoire	B2	Levucell	Stérile	Can2LevSte	25
Grèce	10	Aléatoire	B2	Levucell	Stérile	Gre2LevSte	26
Italie	10	Aléatoire	B2	Levucell	Stérile	Ita2LevSte	27
Canada	10	Aléatoire	B3	Bactocell	Non	Can3BacNon	1
Grèce	10	Aléatoire	B3	Bactocell	Non	Gre3BacNon	2
Italie	10	Aléatoire	B3	Bactocell	Non	Ita3BacNon	3
Canada	10	Aléatoire	B3	Contrôle	Non	Can3ConNon	4
Grèce	10	Aléatoire	B3	Contrôle	Non	Gre3ConNon	5
Italie	10	Aléatoire	B3	Contrôle	Non	Ita3ConNon	6
Canada	10	Aléatoire	B3	Levucell	Non	Can3LevNon	7
Grèce	10	Aléatoire	B3	Levucell	Non	Gre3LevNon	8
Italie	10	Aléatoire	B3	Levucell	Non	Ita3LevNon	9
Canada	10	Aléatoire	B3	Bactocell	Serratia	Can3BacSer	10
Grèce	10	Aléatoire	B3	Bactocell	Serratia	Gre3BacSer	11
Italie	10	Aléatoire	B3	Bactocell	Serratia	Ita3BacSer	12
Canada	10	Aléatoire	B3	Contrôle	Serratia	Can3ConSer	13
Grèce	10	Aléatoire	B3	Contrôle	Serratia	Gre3ConSer	14
