"","Identity","Bloc","Trt","Wound","Strain","Time","Survival","Initial_Mass","Initial_Number","Initial_Mean","group","Growth_Acc","Times","Biom_Acc"
"1","1-Can4ConSer-B4","B4","Con","Ser","Can","11",9,4572,10,457.2,"Ser Con",111.244444444444,"11",1001.2
"2","1-Can4ConSer-B4","B4","Con","Ser","Can","14",9,4572,10,457.2,"Ser Con",308.688888888889,"14",2778.2
"3","1-Can4ConSer-B4","B4","Con","Ser","Can","16",8,4572,10,457.2,"Ser Con",407.925,"16",3263.4
"4","1-Can4ConSer-B4","B4","Con","Ser","Can","18",8,4572,10,457.2,"Ser Con",401.175,"18",3209.4
"5","1-Can4ConSer-B4","B4","Con","Ser","Can","2",10,4572,10,457.2,"Ser Con",14.6,"2",146
"6","1-Can4ConSer-B4","B4","Con","Ser","Can","4",9,4572,10,457.2,"Ser Con",35.5777777777778,"4",320.2
"7","1-Can4ConSer-B4","B4","Con","Ser","Can","7",9,4572,10,457.2,"Ser Con",135.022222222222,"7",1215.2
"8","1-Can4ConSer-B4","B4","Con","Ser","Can","9",9,4572,10,457.2,"Ser Con",109.022222222222,"9",981.2
"9","1-Can5LevSer-B5","B5","Lev","Ser","Can","11",10,5802,10,580.2,"Ser Lev",340.6,"11",3406
"10","1-Can5LevSer-B5","B5","Lev","Ser","Can","14",9,5802,10,580.2,"Ser Lev",442.688888888889,"14",3984.2
"11","1-Can5LevSer-B5","B5","Lev","Ser","Can","16",8,5802,10,580.2,"Ser Lev",585.633333333333,"16",4685.06666666667
"12","1-Can5LevSer-B5","B5","Lev","Ser","Can","18",8,5802,10,580.2,"Ser Lev",561.633333333333,"18",4493.06666666667
"13","1-Can5LevSer-B5","B5","Lev","Ser","Can","2",10,5802,10,580.2,"Ser Lev",115.9,"2",1159
"14","1-Can5LevSer-B5","B5","Lev","Ser","Can","4",10,5802,10,580.2,"Ser Lev",166.6,"4",1666
"15","1-Can5LevSer-B5","B5","Lev","Ser","Can","7",10,5802,10,580.2,"Ser Lev",201.7,"7",2017
"16","1-Can5LevSer-B5","B5","Lev","Ser","Can","9",10,5802,10,580.2,"Ser Lev",335.5,"9",3355
"17","1-Gre2ConNon-B2","B2","Con","Non","Gre","11",10,4374,10,437.4,"Non Con",653.7,"11",6537
"18","1-Gre2ConNon-B2","B2","Con","Non","Gre","14",10,4374,10,437.4,"Non Con",813.6,"14",8136
"19","1-Gre2ConNon-B2","B2","Con","Non","Gre","16",10,4374,10,437.4,"Non Con",842.7,"16",8427
"20","1-Gre2ConNon-B2","B2","Con","Non","Gre","18",10,4374,10,437.4,"Non Con",861.1,"18",8611
"21","1-Gre2ConNon-B2","B2","Con","Non","Gre","2",10,4374,10,437.4,"Non Con",129,"2",1290
"22","1-Gre2ConNon-B2","B2","Con","Non","Gre","4",10,4374,10,437.4,"Non Con",283.1,"4",2831
"23","1-Gre2ConNon-B2","B2","Con","Non","Gre","7",10,4374,10,437.4,"Non Con",331.6,"7",3316
"24","1-Gre2ConNon-B2","B2","Con","Non","Gre","9",10,4374,10,437.4,"Non Con",434.3,"9",4343
"25","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","11",10,5100,10,510,"Ste Lev",434.1,"11",4341
"26","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","14",10,5100,10,510,"Ste Lev",721.8,"14",7218
"27","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","16",10,5100,10,510,"Ste Lev",740.4,"16",7404
"28","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","18",10,5100,10,510,"Ste Lev",716.7,"18",7167
"29","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","2",10,5100,10,510,"Ste Lev",112.4,"2",1124
"30","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","4",10,5100,10,510,"Ste Lev",193.9,"4",1939
"31","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","7",10,5100,10,510,"Ste Lev",292.5,"7",2925
"32","1-Gre3LevSte-B3","B3","Lev","Ste","Gre","9",10,5100,10,510,"Ste Lev",342.2,"9",3422
"33","1-Gre9ConSer-B9","B9","Con","Ser","Gre","11",9,4955,10,495.5,"Ser Con",522.388888888889,"11",4701.5
"34","1-Gre9ConSer-B9","B9","Con","Ser","Gre","14",9,4955,10,495.5,"Ser Con",708.5,"14",6376.5
"35","1-Gre9ConSer-B9","B9","Con","Ser","Gre","16",8,4955,10,495.5,"Ser Con",923.375,"16",7387
"36","1-Gre9ConSer-B9","B9","Con","Ser","Gre","18",9,4955,10,495.5,"Ser Con",759.944444444444,"18",6839.5
"37","1-Gre9ConSer-B9","B9","Con","Ser","Gre","2",10,4955,10,495.5,"Ser Con",57.1,"2",571
"38","1-Gre9ConSer-B9","B9","Con","Ser","Gre","4",10,4955,10,495.5,"Ser Con",80.5,"4",805
"39","1-Gre9ConSer-B9","B9","Con","Ser","Gre","7",10,4955,10,495.5,"Ser Con",239.1,"7",2391
"40","1-Gre9ConSer-B9","B9","Con","Ser","Gre","9",9,4955,10,495.5,"Ser Con",438.944444444444,"9",3950.5
"41","1-Ita10LevNon-B10","B10","Lev","Non","Ita","11",10,5893,11,535.727272727273,"Non Lev",464.272727272727,"11",4642.72727272727
"42","1-Ita10LevNon-B10","B10","Lev","Non","Ita","14",10,5893,11,535.727272727273,"Non Lev",698.472727272727,"14",6984.72727272727
"43","1-Ita10LevNon-B10","B10","Lev","Non","Ita","16",10,5893,11,535.727272727273,"Non Lev",721.972727272727,"16",7219.72727272727
"44","1-Ita10LevNon-B10","B10","Lev","Non","Ita","18",10,5893,11,535.727272727273,"Non Lev",709.172727272727,"18",7091.72727272727
"45","1-Ita10LevNon-B10","B10","Lev","Non","Ita","2",10,5893,11,535.727272727273,"Non Lev",107.372727272727,"2",1073.72727272727
"46","1-Ita10LevNon-B10","B10","Lev","Non","Ita","4",10,5893,11,535.727272727273,"Non Lev",216.372727272727,"4",2163.72727272727
