"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Rate","Times"
"1","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",11,1.11111111111114,"11"
"2","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",14,65.8148148148148,"14"
"3","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",16,49.6180555555555,"16"
"4","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",18,-3.375,"18"
"5","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",2,4.86666666666667,"2"
"6","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",4,10.4888888888889,"4"
"7","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",7,33.1481481481481,"7"
"8","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",9,-13,"9"
"9","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",11,2.54999999999995,"11"
"10","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",14,34.0296296296297,"14"
"11","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",16,71.4722222222222,"16"
"12","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",18,-12,"18"
"13","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",2,38.6333333333333,"2"
"14","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",4,25.35,"4"
"15","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",7,11.7,"7"
"16","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",9,66.9,"9"
"17","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",11,109.7,"11"
"18","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",14,53.3,"14"
"19","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",16,14.55,"16"
"20","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",18,9.20000000000005,"18"
"21","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",2,43,"2"
"22","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",4,77.05,"4"
"23","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",7,16.1666666666667,"7"
"24","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",9,51.35,"9"
"25","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",11,45.95,"11"
"26","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",14,95.9,"14"
"27","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",16,9.30000000000007,"16"
"28","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",18,-11.85,"18"
"29","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",2,37.4666666666667,"2"
"30","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",4,40.75,"4"
"31","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",7,32.8666666666667,"7"
"32","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",9,24.85,"9"
"33","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",11,41.7222222222222,"11"
"34","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",14,62.037037037037,"14"
"35","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",16,107.4375,"16"
