"","Identity","Bloc","Trt","Wound","Strain","Initial_Mass","Initial_Number","Initial_Mean","group","Time","Growth_Acc","Times"
"1","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",11,111.244444444444,"11"
"2","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",14,308.688888888889,"14"
"3","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",16,407.925,"16"
"4","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",18,401.175,"18"
"5","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",2,14.6,"2"
"6","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",4,35.5777777777778,"4"
"7","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",7,135.022222222222,"7"
"8","1-Can4ConSer-B4","B4","Con","Ser","Can",4572,10,457.2,"Ser Con",9,109.022222222222,"9"
"9","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",11,340.6,"11"
"10","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",14,442.688888888889,"14"
"11","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",16,585.633333333333,"16"
"12","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",18,561.633333333333,"18"
"13","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",2,115.9,"2"
"14","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",4,166.6,"4"
"15","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",7,201.7,"7"
"16","1-Can5LevSer-B5","B5","Lev","Ser","Can",5802,10,580.2,"Ser Lev",9,335.5,"9"
"17","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",11,653.7,"11"
"18","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",14,813.6,"14"
"19","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",16,842.7,"16"
"20","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",18,861.1,"18"
"21","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",2,129,"2"
"22","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",4,283.1,"4"
"23","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",7,331.6,"7"
"24","1-Gre2ConNon-B2","B2","Con","Non","Gre",4374,10,437.4,"Non Con",9,434.3,"9"
"25","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",11,434.1,"11"
"26","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",14,721.8,"14"
"27","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",16,740.4,"16"
"28","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",18,716.7,"18"
"29","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",2,112.4,"2"
"30","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",4,193.9,"4"
"31","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",7,292.5,"7"
"32","1-Gre3LevSte-B3","B3","Lev","Ste","Gre",5100,10,510,"Ste Lev",9,342.2,"9"
"33","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",11,522.388888888889,"11"
"34","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",14,708.5,"14"
"35","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",16,923.375,"16"
"36","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",18,759.944444444444,"18"
"37","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",2,57.1,"2"
"38","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",4,80.5,"4"
"39","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",7,239.1,"7"
"40","1-Gre9ConSer-B9","B9","Con","Ser","Gre",4955,10,495.5,"Ser Con",9,438.944444444444,"9"
"41","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",11,464.272727272727,"11"
"42","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",14,698.472727272727,"14"
"43","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",16,721.972727272727,"16"
"44","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",18,709.172727272727,"18"
"45","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",2,107.372727272727,"2"
"46","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",4,216.372727272727,"4"
"47","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",7,300.972727272727,"7"
"48","1-Ita10LevNon-B10","B10","Lev","Non","Ita",5893,11,535.727272727273,"Non Lev",9,379.272727272727,"9"
"49","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",11,306.95,"11"
"50","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",14,280.842857142857,"14"
"51","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",16,277.533333333333,"16"
"52","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",18,244.7,"18"
"53","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",2,-39.8,"2"
"54","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",4,11.0333333333334,"4"
"55","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",7,71.2555555555556,"7"
"56","1-Ita1LevSer-B1","B1","Lev","Ser","Ita",7393,10,739.3,"Ser Lev",9,279.575,"9"
"57","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",11,418.5,"11"
"58","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",14,813.4,"14"
"59","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",16,849.7,"16"
"60","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",18,830.2,"18"
"61","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",2,17.7,"2"
"62","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",4,95.5,"4"
"63","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",7,301.4,"7"
"64","1-Ita6ConNon-B6","B6","Con","Non","Ita",5393,10,539.3,"Non Con",9,356.7,"9"
"65","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",11,554.7,"11"
"66","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",14,749.9,"14"
"67","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",16,716.3,"16"
"68","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",18,685.2,"18"
"69","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",2,232.3,"2"
"70","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",4,304,"4"
"71","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",7,287.2,"7"
"72","1-Ita7BacNon-B7","B7","Bac","Non","Ita",4998,10,499.8,"Non Bac",9,387.2,"9"
"73","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",11,479,"11"
"74","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",14,616.9,"14"
"75","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",16,713.233333333333,"16"
"76","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",18,755.525,"18"
"77","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",2,114.5,"2"
"78","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",4,196.2,"4"
"79","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",7,294.5,"7"
"80","1-Ita8BacSte-B8","B8","Bac","Ste","Ita",4751,10,475.1,"Ste Bac",9,392.4,"9"
"81","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",11,485.7,"11"
"82","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",14,675.2,"14"
"83","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",16,689.5,"16"
"84","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",18,690,"18"
"85","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",2,86.3,"2"
"86","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",4,177.8,"4"
"87","10-Can10ConNon-B10","B10","Con","Non","Can",4009,10,400.9,"Non Con",7,304.6,"7"
