Nourriture	Blessure	Réplicat	Piqués 	CFU/g	CFU/ml	CFU/réplica	Jour	NLV
C	N	CN1	NA	0	0	0	0	10
C	N	CN2	NA	0	0	0	0	10
C	N	CN3	NA	0	0	0	0	10
I	N	IN1	NA	1,98604E+11	1,99E+11	3,97E+10	0	10
I	N	IN2	NA	1,98604E+11	1,99E+11	3,97E+10	0	10
I	N	IN3	NA	1,98604E+11	1,99E+11	3,97E+10	0	10
C	S	CS1	St	0	0	0,00E+00	0	10
C	S	CS2	St	0	0	0,00E+00	0	10
C	S	CS3	St	0	0	0,00E+00	0	10
I	S	IS1	St	1,98604E+11	1,99E+11	3,97E+10	0	10
I	S	IS2	St	1,98604E+11	1,99E+11	3,97E+10	0	10
I	S	IS3	St	1,98604E+11	1,99E+11	3,97E+10	0	10
C	B	CB1	Ba	0	0	0,00E+00	0	10
C	B	CB2	Ba	0	0	0,00E+00	0	10
C	B	CB3	Ba	0	0	0,00E+00	0	10
I	B	IB1	Ba	1,98604E+11	1,99E+11	3,97E+10	0	10
I	B	IB2	Ba	1,98604E+11	1,99E+11	3,97E+10	0	10
I	B	IB3	Ba	1,98604E+11	1,99E+11	3,97E+10	0	10
C	N	CN1	NA	0	0	0	1	10
C	N	CN2	NA	0	0	0	1	10
C	N	CN3	NA	0	0	0	1	10
I	N	IN1	NA	1,98604E+11	1,99E+11	3,97E+10	1	10
I	N	IN2	NA	1,98604E+11	1,99E+11	3,97E+10	1	10
I	N	IN3	NA	1,98604E+11	1,99E+11	3,97E+10	1	10
C	S	CS1	St	0	0	0,00E+00	1	10
C	S	CS2	St	0	0	0,00E+00	1	9
C	S	CS3	St	0	0	0,00E+00	1	10
I	S	IS1	St	1,98604E+11	1,99E+11	3,97E+10	1	10
I	S	IS2	St	1,98604E+11	1,99E+11	3,97E+10	1	10
I	S	IS3	St	1,98604E+11	1,99E+11	3,97E+10	1	10
C	B	CB1	Ba	0	0	0,00E+00	1	10
C	B	CB2	Ba	0	0	0,00E+00	1	10
C	B	CB3	Ba	0	0	0,00E+00	1	9
I	B	IB1	Ba	1,98604E+11	1,99E+11	3,97E+10	1	10
I	B	IB2	Ba	1,98604E+11	1,99E+11	3,97E+10	1	10
I	B	IB3	Ba	1,98604E+11	1,99E+11	3,97E+10	1	10
C	N	CN4	NA	0	0	0	2	10
C	N	CN5	NA	0	0	0	2	10
C	N	CN6	NA	0	0	0	2	10
I	N	IN4	NA	1,98604E+11	1,99E+11	3,97E+10	2	9
I	N	IN5	NA	1,98604E+11	1,99E+11	3,97E+10	2	10
I	N	IN6	NA	1,98604E+11	1,99E+11	3,97E+10	2	10
C	S	CS4	St	0	0	0,00E+00	2	10
C	S	CS5	St	0	0	0,00E+00	2	9
C	S	CS6	St	0	0	0,00E+00	2	10
I	S	IS4	St	1,98604E+11	1,99E+11	3,97E+10	2	10
I	S	IS5	St	1,98604E+11	1,99E+11	3,97E+10	2	10
I	S	IS6	St	1,98604E+11	1,99E+11	3,97E+10	2	9
C	B	CB4	Ba	0	0	0,00E+00	2	10
C	B	CB5	Ba	0	0	0,00E+00	2	10
C	B	CB6	Ba	0	0	0,00E+00	2	9
I	B	IB4	Ba	1,98604E+11	1,99E+11	3,97E+10	2	8
I	B	IB5	Ba	1,98604E+11	1,99E+11	3,97E+10	2	9
I	B	IB6	Ba	1,98604E+11	1,99E+11	3,97E+10	2	10
C	N	CN7	NA	0	0	0	3	10
C	N	CN8	NA	0	0	0	3	10
C	N	CN9	NA	0	0	0	3	10
I	N	IN7	NA	1,98604E+11	1,99E+11	3,97E+10	3	9
I	N	IN8	NA	1,98604E+11	1,99E+11	3,97E+10	3	10
I	N	IN9	NA	1,98604E+11	1,99E+11	3,97E+10	3	10
C	S	CS7	St	0	0	0,00E+00	3	10
C	S	CS8	St	0	0	0,00E+00	3	9
C	S	CS9	St	0	0	0,00E+00	3	10
I	S	IS7	St	1,98604E+11	1,99E+11	3,97E+10	3	10
I	S	IS8	St	1,98604E+11	1,99E+11	3,97E+10	3	10
I	S	IS9	St	1,98604E+11	1,99E+11	3,97E+10	3	9
C	B	CB7	Ba	0	0	0,00E+00	3	10
C	B	CB8	Ba	0	0	0,00E+00	3	10
C	B	CB9	Ba	0	0	0,00E+00	3	9
I	B	IB7	Ba	1,98604E+11	1,99E+11	3,97E+10	3	8
I	B	IB8	Ba	1,98604E+11	1,99E+11	3,97E+10	3	9
I	B	IB9	Ba	1,98604E+11	1,99E+11	3,97E+10	3	10
C	N	CN10	NA	0	0	0	4	10
C	N	CN11	NA	0	0	0	4	10
C	N	CN12	NA	0	0	0	4	10
I	N	IN10	NA	1,98604E+11	1,99E+11	3,97E+10	4	9
I	N	IN11	NA	1,98604E+11	1,99E+11	3,97E+10	4	10
I	N	IN12	NA	1,98604E+11	1,99E+11	3,97E+10	4	10
C	S	CS10	St	0	0	0,00E+00	4	10
C	S	CS11	St	0	0	0,00E+00	4	9
