Traitement	Alive
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
N	Yes
S	No
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
S	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	Yes
B	No
B	No
B	No
B	No
B	No
B	No
B	No
B	No
B	No
B	No
B	No
