Colonie	OD600	CFU	Day	Total
Canada	Ctrl	0.0E+00	7	50
Canada	Ctrl	0.0E+00	7	50
Canada	Ctrl	0.0E+00	7	50
Canada	0.267	4.1E+07	7	50
Canada	0.267	4.1E+07	7	50
Canada	0.267	4.1E+07	7	50
Canada	-1	4.1E+06	7	50
Canada	-1	4.1E+06	7	50
Canada	-1	4.1E+06	7	50
Canada	-2	4.1E+05	7	50
Canada	-2	4.1E+05	7	50
Canada	-2	4.1E+05	7	50
Canada	-3	4.1E+04	7	50
Canada	-3	4.1E+04	7	50
Canada	-3	4.1E+04	7	50
Canada	-4	4.1E+03	7	50
Canada	-4	4.1E+03	7	50
Canada	-4	4.1E+03	7	50
Canada	-5	4.1E+02	7	50
Canada	-5	4.1E+02	7	50
Canada	-5	4.1E+02	7	50
Canada	Ctrl	0.0E+00	73	43
Canada	Ctrl	0.0E+00	73	48
Canada	Ctrl	0.0E+00	73	43
Canada	0.267	4.1E+07	73	46
Canada	0.267	4.1E+07	73	45
Canada	0.267	4.1E+07	73	28
Canada	-1	4.1E+06	73	48
Canada	-1	4.1E+06	73	47
Canada	-1	4.1E+06	73	41
Canada	-2	4.1E+05	73	45
Canada	-2	4.1E+05	73	44
Canada	-2	4.1E+05	73	46
Canada	-3	4.1E+04	73	42
Canada	-3	4.1E+04	73	43
Canada	-3	4.1E+04	73	39
Canada	-4	4.1E+03	73	41
Canada	-4	4.1E+03	73	43
Canada	-4	4.1E+03	73	48
Canada	-5	4.1E+02	73	40
Canada	-5	4.1E+02	73	41
Canada	-5	4.1E+02	73	40
