Colonies	Incubator	Treatment	Maxbiomass	Daysto4.5	Replica
Can	A	Bran	3.069	NA	CAwha
Can	A	Bran	2.997	NA	CAwhb
Can	A	Bran	2.737	NA	CAwhc
Can	B	Bran	2.939	NA	CBwha
Can	B	Bran	2.633	NA	CBwhb
Can	B	Bran	2.925	NA	CBwhc
Gre	A	Bran	3.094	NA	GAwha
Gre	A	Bran	3.271	NA	GAwhb
Gre	A	Bran	3.247	NA	GAwhc
Gre	B	Bran	2.996	NA	GBwha
Gre	B	Bran	2.988	NA	GBwhb
Gre	B	Bran	2.896	NA	GBwhc
It	A	Bran	2.697	NA	IAwha
It	A	Bran	3.413	NA	IAwhb
It	A	Bran	3.055	NA	IAwhc
It	B	Bran	2.883	NA	IBwha
It	B	Bran	2.753	NA	IBwhb
It	B	Bran	3.173	NA	IBwhc
